signe_livre	membres	hpo_membres	parent_propose	label_parent	distance	parent_foetal	definition_parent	decision
Small or absent earlobes	Small earlobes | absent earlobes	HP:0000385+HP:0000387	PARENT:HP:0009906	Aplasia/Hypoplasia of the earlobes	1	oui	Absence or underdevelopment of the ear lobes.	
Short or webbed neck	Short neck | webbed neck	HP:0000470+HP:0000465	PARENT:HP:0025668	Abnormal neck morphology	1	oui	Any structural anomaly of the neck region.	
Broad or beaked nose	Broad nose | beaked nose	HP:0000445+HP:0000444	PARENT:HP:0005105	Abnormal nasal morphology	3	oui		
Cavum or absent septum pellucidum	Cavum septum pellucidum | absent septum pellucidum	HP:0002389+HP:0001331	PARENT:HP:0007375	Abnormal septum pellucidum morphology	1	oui	An abnormality of the septum pellucidum, which is a thin, triangular, vertical membrane separating the lateral ventricles of the brain.	
Septate or double vagina	Septate vagina | double vagina	HP:0001153+HP:0001153	PARENT:HP:0000142	Abnormal vagina morphology	1	oui	Any structural abnormality of the vagina.	
Inguinal or umbilical hernia	Inguinal hernia | umbilical hernia	HP:0000023+HP:0001537	PARENT:HP:0004299	Hernia of the abdominal wall	1	oui	The presence of a hernia in the abdominal wall.	
Upward or downward slanting of palpebral fissures	Upward slanting of palpebral fissures | downward slanting of palpebral fissures	HP:0000582+HP:0000494	PARENT:HP:0200006	Slanting of the palpebral fissure	1	oui		
Agenesis or hypoplasia of corpus callosum	Agenesis of corpus callosum | hypoplasia of corpus callosum	HP:0001274+HP:0002079	PARENT:HP:0007370	Aplasia/Hypoplasia of the corpus callosum	1	oui	Absence or underdevelopment of the corpus callosum.	
hyporeflexia or areflexia	hyporeflexia | areflexia	HP:0001265+HP:0001284	PARENT:HP:0001315	Reduced tendon reflexes	1	oui	Diminution of tendon reflexes, which is an invariable sign of peripheral nerve disease.	
Hypotelorism or hypertelorism	Hypotelorism | hypertelorism	HP:0000601+HP:0000316	PARENT:HP:0100886	Abnormality of globe location	1	oui	An abnormality in the placement of the ocular globe (eyeball).	
Short or bowed ulna	Short ulna | bowed ulna	HP:0003022+HP:0003031	PARENT:HP:0040071	Abnormal morphology of ulna	2	oui	Any structural anomaly of the ulna, a bone of the forearm the extends from the elbow to the little finger.	
Narrow or small thorax	Narrow thorax | small thorax	HP:0000774+HP:0005257	PARENT:HP:0000765	Abnormal thorax morphology	2	oui	Any abnormality of the thorax (the region of the body formed by the sternum, the thoracic vertebrae and the ribs).	
Agenesis or hypoplasia of cerebellar vermis	Agenesis of cerebellar vermis | hypoplasia of cerebellar vermis	HP:0002335+HP:0001320	PARENT:HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis	1	oui	Absence or underdevelopment of the vermis of cerebellum.	
Upslanting or downslanting palpebral fissures	Upslanting palpebral fissures | downslanting palpebral fissures	HP:0000582+HP:0000494	PARENT:HP:0200006	Slanting of the palpebral fissure	1	oui		
Sensorineural or mixed hearing loss	Sensorineural hearing loss | mixed hearing loss	HP:0000407+HP:0000410	PARENT:HP:0011389	Functional abnormality of the inner ear	2	oui	An abnormality of the function of the inner ear.	
Missing or hypoplastic toes	Missing toes | hypoplastic toes	HP:0001849+HP:0001831	PARENT:HP:0011297	Abnormal digit morphology	2	oui	A morphological abnormality of a digit, i.e., of a finger or toe.	
Fusion or short metatarsals	Fusion metatarsals | short metatarsals	HP:0001440+HP:0010743	PARENT:HP:0001832	Abnormal metatarsal morphology	2	oui	Abnormalities of the metatarsal bones (i.e. of five tubular bones located between the tarsal bones of the hind- and mid-foot and the phalanges of the toes).	
Rectovaginal or rectoperineal fistula	Rectovaginal fistula | rectoperineal fistula	HP:0000143+HP:0004792	PARENT:HP:0100590	Rectal fistula	1	oui	The presence of a fistula affecting the rectum.	
Hypoplastic or dysplastic kidneys	Hypoplastic kidneys | dysplastic kidneys	HP:0000089+HP:0000110	PARENT:HP:0012210	Abnormal renal morphology	2	oui	Any structural anomaly of the kidney.	
Umbilical or inguinal hernias	Umbilical hernias | inguinal hernias	HP:0001537+HP:0000023	PARENT:HP:0004299	Hernia of the abdominal wall	1	oui	The presence of a hernia in the abdominal wall.	
Absent or dystrophic nails	Absent nails | dystrophic nails	HP:0001798+HP:0008404	PARENT:HP:0001597	Abnormal nail morphology	2	oui	Abnormal structure or appearance of the nail.	
Aplasia or hypoplasia of lacrimal puncta	Aplasia of lacrimal puncta | hypoplasia of lacrimal puncta	HP:0001092+HP:0007892	PARENT:HP:0011479	Abnormal lacrimal punctum morphology	1	oui	An abnormality of the lacrimal punctum, an opening on the eyelid close to the medial canthus that drains tears from the conjunctival sac into the lacrimal duct in the same eyelid.	
Malformed or low-set ears	Malformed ears | low-set ears	HP:0000377+HP:0000369	PARENT:HP:0000356	Abnormality of the outer ear	3	oui	An abnormality of the external ear.	
Absence or dysgenesis of the corpus callosum	Absence of the corpus callosum | dysgenesis of the corpus callosum	HP:0001274+HP:0006989	PARENT:HP:0001273	Abnormal corpus callosum morphology	3	oui	Abnormality of the corpus callosum.	
