signe_livre	membres	hpo_membres	parent_propose	label_parent	distance	parent_foetal	definition_parent	decision
Small or absent earlobes	Small earlobes | absent earlobes	HP:0000385+HP:0000387	PARENT:HP:0009906	Aplasia/Hypoplasia of the earlobes	1	oui	Absence or underdevelopment of the ear lobes.	PARENT:HP:0009906
Short or webbed neck	Short neck | webbed neck	HP:0000470+HP:0000465	PARENT:HP:0025668	Abnormal neck morphology	1	oui	Any structural anomaly of the neck region.	PARENT:HP:0025668
Broad or beaked nose	Broad nose | beaked nose	HP:0000445+HP:0000444	PARENT:HP:0005105	Abnormal nasal morphology	3	oui		PARENT:HP:0005105
Cavum or absent septum pellucidum	Cavum septum pellucidum | absent septum pellucidum	HP:0002389+HP:0001331	PARENT:HP:0007375	Abnormal septum pellucidum morphology	1	oui	An abnormality of the septum pellucidum, which is a thin, triangular, vertical membrane separating the lateral ventricles of the brain.	PARENT:HP:0007375
Septate or double vagina	Septate vagina | double vagina	HP:0001153+HP:0001153	PARENT:HP:0000142	Abnormal vagina morphology	1	oui	Any structural abnormality of the vagina.	PARENT:HP:0000142
Inguinal or umbilical hernia	Inguinal hernia | umbilical hernia	HP:0000023+HP:0001537	PARENT:HP:0004299	Hernia of the abdominal wall	1	oui	The presence of a hernia in the abdominal wall.	PARENT:HP:0004299
Upward or downward slanting of palpebral fissures	Upward slanting of palpebral fissures | downward slanting of palpebral fissures	HP:0000582+HP:0000494	PARENT:HP:0200006	Slanting of the palpebral fissure	1	oui		PARENT:HP:0200006
Agenesis or hypoplasia of corpus callosum	Agenesis of corpus callosum | hypoplasia of corpus callosum	HP:0001274+HP:0002079	PARENT:HP:0007370	Aplasia/Hypoplasia of the corpus callosum	1	oui	Absence or underdevelopment of the corpus callosum.	PARENT:HP:0007370
hyporeflexia or areflexia	hyporeflexia | areflexia	HP:0001265+HP:0001284	PARENT:HP:0001315	Reduced tendon reflexes	1	oui	Diminution of tendon reflexes, which is an invariable sign of peripheral nerve disease.	PARENT:HP:0001315
Hypotelorism or hypertelorism	Hypotelorism | hypertelorism	HP:0000601+HP:0000316	PARENT:HP:0100886	Abnormality of globe location	1	oui	An abnormality in the placement of the ocular globe (eyeball).	PARENT:HP:0100886
Short or bowed ulna	Short ulna | bowed ulna	HP:0003022+HP:0003031	PARENT:HP:0040071	Abnormal morphology of ulna	2	oui	Any structural anomaly of the ulna, a bone of the forearm the extends from the elbow to the little finger.	PARENT:HP:0040071
Narrow or small thorax	Narrow thorax | small thorax	HP:0000774+HP:0005257	PARENT:HP:0000765	Abnormal thorax morphology	2	oui	Any abnormality of the thorax (the region of the body formed by the sternum, the thoracic vertebrae and the ribs).	PARENT:HP:0000765
Agenesis or hypoplasia of cerebellar vermis	Agenesis of cerebellar vermis | hypoplasia of cerebellar vermis	HP:0002335+HP:0001320	PARENT:HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis	1	oui	Absence or underdevelopment of the vermis of cerebellum.	PARENT:HP:0006817
Upslanting or downslanting palpebral fissures	Upslanting palpebral fissures | downslanting palpebral fissures	HP:0000582+HP:0000494	PARENT:HP:0200006	Slanting of the palpebral fissure	1	oui		PARENT:HP:0200006
Sensorineural or mixed hearing loss	Sensorineural hearing loss | mixed hearing loss	HP:0000407+HP:0000410	PARENT:HP:0011389	Functional abnormality of the inner ear	2	oui	An abnormality of the function of the inner ear.	NON
