signe_livre	occurrences	region	candidat_hpo	label_hpo	portee_proposee	definition_hpo	commentaire_hpo	decision	motif
cardiac defects	60	heart	HP:0031546	Cardiac conduction abnormality	EXACT (j=0.67)	Any anomaly of the progression of electrical impulses through the heart.	The conduction system of the heart initiates and coordinates the electric signal that causes the rhythmic and synchronized contractions of the atria and ventricles. In higher vertebrates, this system 	PARENT:HP:0001627	parapluie — toute anomalie structurale du coeur ; le candidat propose (conduction) etait faux
hearing loss	41	ears	HP:0000365	Hearing impairment	RELATED (déclaré par HPO)	A decreased magnitude of the sensory perception of sound.	Hearing loss can be categorized by which part of the auditory system is damaged, as conductive hearing loss, sensorineural hearing loss, and mixed hearing loss. Another axis of classification uses the	HP:0000365	Hearing impairment — RELATED chez HPO mais meme concept clinique ; postnatal, sera ecarte par le filtre foetal
imperforate anus	25	abdomen	HP:0002023	Anal atresia	RELATED (déclaré par HPO)	Congenital absence of the anus, i.e., the opening at the bottom end of the intestinal tract.		HP:0002023	Anal atresia — RELATED chez HPO, synonymie classique et sans ambiguite
cardiac defect	20	heart	HP:0031546	Cardiac conduction abnormality	EXACT (j=0.67)	Any anomaly of the progression of electrical impulses through the heart.	The conduction system of the heart initiates and coordinates the electric signal that causes the rhythmic and synchronized contractions of the atria and ventricles. In higher vertebrates, this system 	PARENT:HP:0001627	idem, singulier
cleft lip with or without cleft palate	15	mouth	HP:0000202	Orofacial cleft	NARROW (j=0.75)	The presence of a cleft (gap, opening, or groove) in the oral cavity, including cleft of the upper lip and/or cleft of the palate. Cleft of the upper lip is visible as a groove or fissure in the lip, most frequently due to a congenital failure of the maxillary and median nasal processes to fuse. Cle		PARENT:HP:0000202	Orofacial cleft — la forme du livre couvre deux entites distinctes, on pose le parent
hirschsprung disease	14	abdomen	HP:0002251	Aganglionic megacolon	RELATED (déclaré par HPO)	An abnormality resulting from a lack of intestinal ganglion cells (i.e., an aganglionic section of bowel) that results in bowel obstruction with enlargement of the colon.	Aganglionic megacolon is characterized by congenital absence of intrinsic ganglion cells in the myenteric (Auerbach) and submucosal (Meissner) plexuses of the gastrointestinal tract.	HP:0002251	Aganglionic megacolon — RELATED chez HPO, meme entite
fifth-finger clinodactyly	12	limbs	HP:0030084	Clinodactyly	NAME (j=0.50)	An angulation of a digit at an interphalangeal joint in the plane of the palm (finger) or sole (toe).		HP:0004209	HPO separe Clinodactyly (HP:0030084) de Clinodactyly of the 5th finger : la forme du livre est la specifique
prenatal onset of growth deficiency	11	growth	HP:0001511	Intrauterine growth retardation	EXACT (j=0.75)	An abnormal restriction of fetal growth with fetal weight below the tenth percentile for gestational age.	Intrauterine growth restriction is a newer term that is preferred over Intrauterine growth retardation. The causes of IUGR include maternal abnormalities (chronic hypertension, cyanotic heart disease,	HP:0001511	Intrauterine growth retardation — equivalent
small nose	11	craniofacial	HP:0003196	Short nose	RELATED (déclaré par HPO)	Distance from nasion to subnasale more than two standard deviations below the mean, or alternatively, an apparently decreased length from the nasal root to the nasal tip.	Note: a small nose has both decreased height and a decreased width. These should be coded separately.	PARENT:HP:0005105	court, etroit ou hypoplasique ne sont pas le meme axe ; Short nose serait une sur-precision
supernumerary nipples	11	skin	HP:0002558	Supernumerary nipple	RELATED (déclaré par HPO)	Presence of more than two nipples.		HP:0002558	Supernumerary nipple — pluriel seul en cause
