signe	nom_propose	hpo_id	label_hpo	n	choix	arbitre	verdict_next	nom_next
dysmorphic features	Dysmorphic facial feature	HP:0001999	Abnormal facial shape	8	PARENT:HP:0001999	next:AUTRE Abnormal facial shape ?	AUTRE	Abnormal facial shape
Short tubular bones of the hands and feet	Short tubular bones of the hands	HP:0001248	Short tubular bones of the hand	3	HP:0001248+HP:0001773	next:AUTRE Short tubular bones of the hand and feet ?	AUTRE	Short tubular bones of the hand and feet
delayed carpal/tarsal bone ossification	Delayed carpal bone ossification	HP:0001216	Delayed ossification of carpal bones	2	HP:0001216+HP:0008103	next:AUTRE Delayed ossification of carpal and tarsal bones ?	AUTRE	Delayed ossification of carpal and tarsal bones
Delayed ossification of the cranial vault and base	Delayed closure of cranial sutures	HP:0000270	Delayed cranial suture closure	2	HP:0005474	next:AUTRE Delayed ossification of the skull base ?	AUTRE	Delayed ossification of the skull base
Abnormal bile acids	Accumulation of very long chain fatty acids	HP:0008167	Very long chain fatty acid accumulation	1	NON	next:AUTRE Abnormal bile acid metabolism ?	AUTRE	Abnormal bile acid metabolism
Abnormal T2-weighted hyperintensity	Abnormality of the white matter	HP:0002500	Abnormal cerebral white matter morphology	1	HP:0002500	next:AUTRE Abnormality of the central nervous system imaging ?	AUTRE	Abnormality of the central nervous system imaging
Absence of dorsal flexion creases	Absence of palmar creases	HP:0010489	Absent palmar crease	1	HP:0006109	next:AUTRE Absent dorsal digital crease ?	AUTRE	Absent dorsal digital crease
Absent flexion creases	Absent palmar creases	HP:0010489	Absent palmar crease	1	HP:0006109	next:AUTRE Absent digital crease ?	AUTRE	Absent digital crease
Absent ossification of the odontoid process	Odontoid process hypoplasia	HP:0003311	Hypoplasia of the odontoid process	1	HP:0003311	next:AUTRE Absent odontoid process ?	AUTRE	Absent odontoid process
accessory proximal metacarpal epiphyses	Accessory carpal bone	HP:0004232	Accessory carpal bones	1	HP:0009193	next:AUTRE Accessory metacarpal epiphyses ?	AUTRE	Accessory metacarpal epiphyses
Adventitious movements	Abnormality of gait	HP:0001288	Gait disturbance	1	HP:0004305	next:AUTRE Choreoathetosis ?	AUTRE	Choreoathetosis
Agenesis/hypoplasia of first metatarsals	Hypoplasia of the first metatarsal	HP:0010105	Short first metatarsal	1	HP:0010067	next:AUTRE Hypoplasia of the first metatarsal bone ?	AUTRE	Hypoplasia of the first metatarsal bone
Atrophic and hypoplastic areas of skin	Atrophic scar	HP:0001075	Atrophic scars	1	HP:0004334	next:AUTRE Cutis laxa ?	AUTRE	Cutis laxa
auditory symptoms	Auditory hallucinations	HP:0008765	Auditory hallucination	1	NON	next:AUTRE Auditory aura ?	AUTRE	Auditory aura
Blunted vertebral bodies	Flattened vertebral body	HP:0000926	Platyspondyly	1	PARENT:HP:0003312	next:AUTRE Abnormal vertebral body morphology ?	AUTRE	Abnormal vertebral body morphology
Bony bridging of sella turcica	Sella turcica abnormalities	HP:0002679	Abnormal sella turcica morphology	1	HP:0005449	next:AUTRE Bridging of the sella turcica ?	AUTRE	Bridging of the sella turcica
Complete absence of ossification of anterior ribs	Hypoplasia of the ribs	HP:0000773	Short ribs	1	PARENT:HP:0000772	next:AUTRE Absent anterior rib ossification ?	AUTRE	Absent anterior rib ossification
Complete bony fusion of the maxilla and mandible	Ankylosis of the temporomandibular joint	HP:0012478	Temporomandibular joint ankylosis	1	PARENT:HP:0030791	next:AUTRE Fusion of maxilla and mandible ?	AUTRE	Fusion of maxilla and mandible
cupped spur-like irregular flaring of metaphyses	Metaphyseal spur	HP:0005054	Metaphyseal spurs	1	HP:0005054+HP:0003021	next:AUTRE Cupped metaphyses ?	AUTRE	Cupped metaphyses
Cystic dilatation of renal tubules	Renal cysts	HP:0000107	Renal cyst	1	HP:0041050	next:AUTRE Dilated renal tubules ?	AUTRE	Dilated renal tubules
decreased ossification in sutural areas	Delayed closure of cranial sutures	HP:0000270	Delayed cranial suture closure	1	HP:0004331	next:AUTRE Delayed cranial suture closure ?	AUTRE	Delayed cranial suture closure
defects of the ulna	Ulna aplasia	HP:0003982	Aplasia of the ulna	1	PARENT:HP:0003953	next:AUTRE Abnormality of the ulna ?	AUTRE	Abnormality of the ulna
delayed calvarial ossification	Delayed closure of cranial sutures	HP:0000270	Delayed cranial suture closure	1	HP:0005474	next:AUTRE Delayed ossification of the skull ?	AUTRE	Delayed ossification of the skull
difficulty moving from sitting to standing	Abnormality of gait	HP:0001288	Gait disturbance	1	HP:0003698	next:AUTRE Difficulty rising from a squatting position ?	AUTRE	Difficulty rising from a squatting position
droopy skin on the cheeks	Prominent nasolabial folds	HP:0005272	Prominent nasolabial fold	1	HP:0001582	next:AUTRE Redundant skin of the face ?	AUTRE	Redundant skin of the face
Failure of ossification of sutures	Delayed closure of cranial sutures	HP:0000270	Delayed cranial suture closure	1	HP:0000270	next:AUTRE Delayed cranial suture closure ?	AUTRE	Delayed cranial suture closure
Flexion of the fingers gives the hands a cup-shaped form	Abnormal hand shape	HP:0005922	Abnormal hand morphology	1	HP:0012385	next:AUTRE Cupped hand ?	AUTRE	Cupped hand
Focal epileptiform abnormalities	Abnormality of the electroencephalogram	HP:0002353	EEG abnormality	1	HP:0011185	next:AUTRE Focal epileptiform discharges ?	AUTRE	Focal epileptiform discharges
Focal spike and wave discharges	Abnormality of the electroencephalogram	HP:0002353	EEG abnormality	1	HP:0011197	next:AUTRE Focal spike and wave discharges ?	AUTRE	Focal spike and wave discharges
