livre	titre	methode	orpha	nom_orpha	autres	choix
genereviews	15q13.3 Recurrent Deletion					
genereviews	16p11.2 Recurrent Deletion					
genereviews	16p12.2 Recurrent Deletion					
genereviews	17q12 Recurrent Deletion Syndrome					
genereviews	17q12 Recurrent Duplication					
genereviews	1q21.1 Recurrent Deletion					
genereviews	21-Hydroxylase-Deficient Congenital Adrenal Hyperplasia					
genereviews	3-Hydroxyisobutyryl-CoA Hydrolase Deficiency					
genereviews	3q29 Recurrent Deletion					
genereviews	6q24-Related Transient Neonatal Diabetes Mellitus					
genereviews	7q11.23 Duplication Syndrome					
genereviews	AARS2-Related Disorder					
genereviews	ACTG2 Visceral Myopathy					
genereviews	ADAMTSL4-Related Eye Disorders					
genereviews	ADCY5-Related Movement Disorder					
genereviews	AFF4-Related CHOPS Syndrome					
genereviews	AFG3L2-Related Neurologic Disorders					
genereviews	AIP Familial Isolated Pituitary Adenomas					
genereviews	ALK-Related Neuroblastic Tumor Susceptibility					
genereviews	ALPK1-Related Autoinflammatory Disease					
genereviews	ALS2-Related Disorder					
genereviews	ANKRD11-Related KBG Syndrome					
genereviews	ANKRD17-Related Neurodevelopmental Syndrome					
genereviews	ANKRD26-Related Thrombocytopenia					
genereviews	ANO5-Related Muscle Disease					
genereviews	APC-Associated Polyposis Conditions					
genereviews	ARID1B-Related Disorder					
genereviews	ASAH1-Related Disorders					
genereviews	ASPM Primary Microcephaly					
genereviews	ASXL3-Related Disorder					
genereviews	ATM-Related Cancer Predisposition					
genereviews	ATN1-Related Neurodevelopmental Disorder					
genereviews	ATP1A3-Related Disorder					
genereviews	ATP6V0A2-Related Cutis Laxa					
genereviews	ATP7A-Related Copper Transport Disorders					
genereviews	ATP8B1 Deficiency					
genereviews	Acid Sphingomyelinase Deficiency					
genereviews	Adenosine Deaminase Deficiency	jaccard	ORPHA:404553	Deficiency of adenosine deaminase 2		
genereviews	Adult Refsum Disease					
genereviews	Alzheimer Disease Overview					
genereviews	Argininosuccinate Lyase Deficiency					
genereviews	Arrhythmogenic Right Ventricular Cardiomyopathy Overview					
genereviews	Arylsulfatase A Deficiency	nom	ORPHA:512	Leucodystrophie métachromatique		
