livre	titre	methode	orpha	nom_orpha	autres	choix
smith	A Deletion 11Q Syndrome	arbitrage	ORPHA:2308	Jacobsen syndrome		ORPHA:2308
smith	A Deletion 13Q Syndrome (13q- Syndrome)					
smith	A Deletion 4Q Syndrome					
smith	A Duplication 10Q Syndrome					
smith	A Duplication 15Q Syndrome					
smith	A Duplication 3Q Syndrome					
smith	A Triploidy Syndrome and Diploid/Triploid  Mixoploidy Syndrome	arbitrage	ORPHA:3376	Triploidy syndrome		ORPHA:3376
smith	A Trisomy 8 Syndrome (Trisomy 8/Normal Mosaicism)	arbitrage	ORPHA:96061	Mosaic trisomy 8 syndrome		ORPHA:96061
smith	A XXX and XXXX Syndromes	arbitrage	ORPHA:3375	Trisomy X syndrome		ORPHA:3375
smith	A XXXXX Syndrome (Penta X Syndrome)	arbitrage	ORPHA:11			ORPHA:11
smith	A XXXY and XXXXY Syndromes	arbitrage	ORPHA:96264	49,XXXXY syndrome		ORPHA:96264
smith	A XXY Syndrome, Klinefelter Syndrome	arbitrage	ORPHA:484	NON RARE IN EUROPE: Klinefelter syndrome		ORPHA:484
smith	A XYY Syndrome	nom	ORPHA:8	47,XYY syndrome		ORPHA:8
smith	B 15q24 Microdeletion Syndrome	nom	ORPHA:94065	15q24 microdeletion syndrome		ORPHA:94065
smith	B 17q21 Microdeletion Syndrome	arbitrage	ORPHA:96169			ORPHA:96169
smith	B 1q43q44 Microdeletion Syndrome  (1qter Microdeletion Syndrome, Subtelomeric 1q Microdeletion)	arbitrage	ORPHA:238769	1q44 microdeletion syndrome		ORPHA:238769
smith	B 2q37 Deletion Syndrome  (2qter Subtelomeric Microdeletion Syndrome)	arbitrage	ORPHA:1001	2q37 microdeletion syndrome		ORPHA:1001
smith	B XQ Distal Duplication Or Disomy  (Xq27-q28 Terminal Duplications Including MECP2 Duplication)	arbitrage	ORPHA:1762			ORPHA:1762
smith	D Aarskog Syndrome	nom	ORPHA:915	Aarskog-Scott syndrome		
smith	D Cardio-Facio-Cutaneous Syndrome	arbitrage	ORPHA:1340	Cardiofaciocutaneous syndrome		ORPHA:1340
smith	G Amyoplasia Congenita Disruptive Sequence					
smith	G Pena-Shokeir Phenotype (Fetal Akinesia/Hypokinesia Sequence)	arbitrage	ORPHA:994	Fetal akinesia deformation sequence		ORPHA:994
smith	H Cleft Lip Sequence					
smith	I Oral-Facial-Digital Syndrome (OFD Syndrome, Type I)	arbitrage	ORPHA:2750	Orofaciodigital syndrome type 1		ORPHA:2750
smith	I Tricho-Rhino-Phalangeal Syndrome, Type I (Trp I)	arbitrage	ORPHA:77258	Trichorhinophalangeal syndrome type 1		ORPHA:77258
smith	J Fanconi Pancytopenia Syndrome	arbitrage	ORPHA:84	Fanconi anemia		ORPHA:84
smith	K Achondrogenesis Types IA and IB	arbitrage	ORPHA:932	Achondrogenesis		ORPHA:932
smith	K Autosomal Recessive Chondrodysplasia Punctata (Chondrodysplasia Punctata, Rhizomelic Type)	arbitrage	ORPHA:177	Rhizomelic chondrodysplasia punctata		ORPHA:177
smith	K Chondrodysplasia Punctata, X-Linked Dominant Type (Conradi-Hünermann Syndrome)	arbitrage	ORPHA:35173			ORPHA:35173
smith	K Craniometaphyseal Dysplasia	nom	ORPHA:1522	Craniometaphyseal dysplasia		ORPHA:1522
smith	K Dyggve-Melchior-Clausen Syndrome	arbitrage	ORPHA:239	Dyggve-Melchior-Clausen disease		ORPHA:239
smith	K Geleophysic Dysplasia	nom	ORPHA:2623	Geleophysic dysplasia		ORPHA:2623
smith	K Hajdu-Cheney Syndrome  (Cheney Syndrome, Acro-Osteolysis Syndrome,  Arthro-Dento-Osteo Dysplasia)	nom	ORPHA:955	Hajdu-Cheney syndrome		ORPHA:955
smith	K Metaphyseal Dysplasia, Schmid Type	arbitrage	ORPHA:174	Metaphyseal chondrodysplasia, Schmid type		ORPHA:174
smith	K SRP Type I	arbitrage	ORPHA:93270	Short rib-polydactyly syndrome, Saldino-Noonan type		ORPHA:93270
smith	K SRP Type II	arbitrage	ORPHA:93269	Short rib-polydactyly syndrome, Majewski type		ORPHA:93269
smith	K SRP Type III	arbitrage	ORPHA:93271	Short rib-polydactyly syndrome, Verma-Naumoff type		ORPHA:93271
smith	K SRP Type IV					
smith	K Short Rib–Polydactyly Syndromes	arbitrage	ORPHA:1505	Short rib-polydactyly syndrome		ORPHA:1505
smith	K Spondylometaphyseal Dysplasia, Kozlowski Type (Kozlowski Spondylometaphyseal Chondrodysplasia)	nom	ORPHA:93314	Spondylometaphyseal dysplasia, Kozlowski type		ORPHA:93314
smith	K X-Linked Recessive Spondyloepiphyseal  Dysplasia Tarda	arbitrage	ORPHA:93284	Spondyloepiphyseal dysplasia tarda		ORPHA:93284
smith	L Lenz-Majewski Hyperostosis Syndrome	arbitrage	ORPHA:2658	Lenz-Majewski hyperostotic dysplasia		ORPHA:2658
smith	M FGFR3-Associated Coronal Synostosis Syndrome (Muenke Craniosynostosis)	arbitrage	ORPHA:53271	Muenke syndrome		ORPHA:53271
smith	N Multiple Exostoses Syndrome  (Diaphyseal Aclasis, External Chondromatosis Syndrome)	arbitrage	ORPHA:321			ORPHA:321
smith	N Multiple Synostosis Syndrome (Symphalangism Syndrome)	arbitrage	ORPHA:3237	Multiple synostoses syndrome		ORPHA:3237
smith	N Spondylocarpotarsal Synostosis Syndrome	nom	ORPHA:3275	Spondylocarpotarsal synostosis		ORPHA:3275
smith	O Hunter Syndrome (Mucopolysaccharidosis II)	nom	ORPHA:580	Mucopolysaccharidosis type 2		ORPHA:580
smith	O Leroy I-Cell Syndrome (Mucolipidosis II)	arbitrage	ORPHA:576	Mucolipidosis type II		ORPHA:576
smith	O Morquio Syndrome (Mucopolysaccharidosis IV, Types A And B)	arbitrage	ORPHA:582	Mucopolysaccharidosis type 4		ORPHA:582
smith	P Fibrodysplasia Ossificans Progressiva Syndrome	arbitrage	ORPHA:337	Fibrodysplasia ossificans progressiva		ORPHA:337
smith	P Marfan Syndrome	arbitrage	ORPHA:558	Marfan syndrome	ORPHA:558 Marfan syndrome	ORPHA:558
smith	P Osteogenesis Imperfecta Syndrome, Type I  (Autosomal Dominant Osteogenesis Imperfecta, Lobstein Disease)	arbitrage	ORPHA:216796	Osteogenesis imperfecta type 1		ORPHA:216796
smith	Q Gorlin Syndrome (Nevoid Basal Cell Carcinoma Syndrome)	nom	ORPHA:377	Gorlin syndrome		ORPHA:377
smith	Q Hereditary Hemorrhagic Telangiectasia  (Osler Hemorrhagic Telangiectasia)	nom	ORPHA:774	Hereditary hemorrhagic telangiectasia		ORPHA:774
smith	Q Hypomelanosis of Ito (Incontinentia Pigmentosa Achromians)	arbitrage	ORPHA:435	OBSOLETE: Ito hypomelanosis		ORPHA:435
smith	Q Maffucci Syndrome	nom	ORPHA:163634	Maffucci syndrome		ORPHA:163634
smith	Q McCune-Albright Syndrome	nom	ORPHA:562	McCune-Albright syndrome		ORPHA:562
smith	Q Multiple Endocrine Neoplasia, Type 2B  (Multiple Neuroma Syndrome)	nom	ORPHA:247709	Multiple endocrine neoplasia type 2B		ORPHA:247709
smith	Q Neurocutaneous Melanosis Sequence	arbitrage	ORPHA:2481			ORPHA:2481
smith	Q Neurofibromatosis Syndrome	arbitrage	ORPHA:636	Neurofibromatosis type 1		ORPHA:636
smith	Q Peutz-Jeghers Syndrome	nom	ORPHA:2869	Peutz-Jeghers syndrome		ORPHA:2869
smith	Q Proteus Syndrome	nom	ORPHA:744	Proteus syndrome		ORPHA:744
smith	Q Tuberous Sclerosis Syndrome	arbitrage	ORPHA:805	Tuberous sclerosis complex		ORPHA:805
smith	R Clouston Syndrome	arbitrage	ORPHA:189	Hidrotic ectodermal dysplasia		ORPHA:189
smith	R Pachyonychia Congenita Syndrome	arbitrage	ORPHA:2309	Pachyonychia congenita		ORPHA:2309
smith	R Rapp-Hodgkin Ectodermal Dysplasia	arbitrage	ORPHA:1071	Ankyloblepharon-ectodermal defects-cleft lip/palate syndrome		ORPHA:1071
smith	R Senter-KID Syndrome	arbitrage	ORPHA:477			ORPHA:477
smith	R Tricho-Dento-Osseous Syndrome (TDO Syndrome)	nom	ORPHA:3352	Tricho-dento-osseous syndrome		ORPHA:3352
smith	R Xeroderma Pigmentosa Syndrome	arbitrage	ORPHA:910	Xeroderma pigmentosum		ORPHA:910
smith	S Fetal Aminopterin/Methotrexate Syndrome	arbitrage	ORPHA:1908	Aminopterin/methotrexate embryofetopathy		ORPHA:1908
smith	S Fetal Varicella Syndrome					
smith	S Hyperthermia-Induced Spectrum of Defects					
smith	T Alagille Syndrome (Arteriohepatic Dysplasia)	arbitrage	ORPHA:52	Alagille syndrome	ORPHA:261619 Alagille syndrome due to a JAG1 point mutation ; ORPHA:261629 Alagille syndrome due to a NOTCH2 point mutation ; ORPHA:52 Alagille syndrome	ORPHA:52
smith	T Cerebro-Costo-Mandibular Syndrome	arbitrage	ORPHA:1393	Cerebrocostomandibular syndrome		ORPHA:1393
smith	T Distichiasis-Lymphedema Syndrome	arbitrage	ORPHA:33001	Lymphedema-distichiasis syndrome		ORPHA:33001
smith	T Melnick-Needles Syndrome	nom	ORPHA:2484	Melnick-Needles syndrome		ORPHA:2484
smith	U Amnion Rupture Sequence	arbitrage	ORPHA:1034	OBSOLETE: Amniotic bands		ORPHA:1034
smith	U Laterality Sequences	arbitrage	ORPHA:450	Visceral heterotaxy		ORPHA:450
smith	U Meningomyelocele, Anencephaly, Iniencephaly Sequences					
smith	U Occult Spinal Dysraphism Sequence  (Tethered Cord Malformation Sequence)					
smith	U Oligohydramnios Sequence (Potter Syndrome)					
smith	U Urorectal Septum Malformation Sequence					
smith	V Congenital Microgastria–Limb Reduction Complex  (Microgastria, Limb Defects, Splenic Abnormalities)	arbitrage	ORPHA:2538	Microgastria-limb reduction defect syndrome		ORPHA:2538
smith	V Monozygotic Twinning and Structural Defects—General					
smith	V Sternal Malformation–Vascular Dysplasia Spectrum					
spranger_entites	1.4 SADDAN (Severe Achondroplasia with Developmental Delay and Acanthosis Nigricans) (MIM 616482)	mim	ORPHA:85165	Severe achondroplasia-developmental delay-acanthosis nigricans syndrome		ORPHA:85165
spranger_entites	10.8 Keutel Syndrome (MIM 245150)	mim	ORPHA:85202	Keutel syndrome		ORPHA:85202
spranger_entites	11.7 Mainzer-Saldino Syndrome (MIM 266920)	mim	ORPHA:140969	Saldino-Mainzer syndrome		ORPHA:140969
spranger_entites	11.8 Axial Spondylometaphyseal Dysplasia (MIM 602271)	mim	ORPHA:168549	Axial spondylometaphyseal dysplasia		ORPHA:168549
spranger_entites	12.9 MESOMELIC DYSPLASIA WITH ACRALS YNOSTOSES ( MIM	arbitrage	ORPHA:2496			ORPHA:2496
spranger_entites	13.14 Geleophysic Dysplasia (MIM 231050)	mim	ORPHA:2623	Geleophysic dysplasia		ORPHA:2623
spranger_entites	13.6 Brachydactyly D (MIM 113200)					
spranger_entites	14.12 Osteoporosis-Pseudoglioma Syndrome (MIM 259770)	mim	ORPHA:2788	Osteoporosis-pseudoglioma syndrome		ORPHA:2788
spranger_entites	14.15 Calvarial Doughnut Lesions-Osteoporosis Syndrome (MIM 126550)	mim	ORPHA:85192	Calvarial doughnut lesions-bone fragility syndrome		ORPHA:85192
spranger_entites	14.16 Gnathodiaphyseal Dysplasia (MIM 166260)	mim	ORPHA:53697	Gnathodiaphyseal dysplasia		ORPHA:53697
spranger_entites	14.2 Osteogenesis Imperfecta, Type I (MIM 116200)	arbitrage	ORPHA:216796	Osteogenesis imperfecta type 1	ORPHA:91492 Early onset non-syndromic cataract	ORPHA:216796
spranger_entites	14.7 C ontents					
spranger_entites	14.8 Idiopathic Juvenile Osteoporosis (MIM 259750)	mim	ORPHA:85193	Idiopathic juvenile osteoporosis		ORPHA:85193
spranger_entites	15.3 Hereditary Rickets (MIM 307800, 193100, 241520, 613312, 241530, 264700, 600081, 277440, 600785, 300554, 612089)	mim	ORPHA:157215	Hereditary hypophosphatemic rickets with hypercalciuria	ORPHA:1652 Dent disease ; ORPHA:289157 Hypocalcemic vitamin D-dependent rickets ; ORPHA:289176 Autosomal recessive hypophosphatemic rickets ; ORPHA:89936 X-linked hypophosphatemia ; ORPHA:89937 Autosomal dominant hypophosphatemic rickets ; ORPHA:93160 Hypocalcemic vitamin D-resistant rickets ; ORPHA:93622 Dent disease type 1	
spranger_entites	16.12 Melorheostosis (MIM 155950)	mim	ORPHA:2485	Melorheostosis		ORPHA:2485
spranger_entites	16.5 Osteopetrosis, Late Onset Forms (MIM 607634, 166660)	mim	ORPHA:2783	Autosomal dominant osteopetrosis type 1		ORPHA:2783
spranger_entites	16.9 Osteomesopyknosis (MIM 166450)	mim	ORPHA:2777	Osteomesopyknosis		ORPHA:2777
spranger_entites	17.10 Pachydermoperiostosis, Autosomal Dominant (MIM 167100)	mim	ORPHA:2796	Pachydermoperiostosis		ORPHA:2796
spranger_entites	17.11 Sclerosteo-Cerebellar Syndrome (MIM 213002)					
