slug	titre_gr	foetale	orpha	nom_orpha	voie	jaccard	sur	choix
ahc	NR0B1-Related Adrenal Hypoplasia Congenita	1	ORPHA:95702	X-linked adrenal hypoplasia congenita	titre ≠num	1.0	0	
clcn7	CLCN7-Related Osteopetrosis	1	ORPHA:53	Albers-Schönberg osteopetrosis	titre ≠num	1.0	0	
cutis-laxa	ATP6V0A2-Related Cutis Laxa	1	ORPHA:209	Cutis laxa	titre ≠gène	1.0	0	
efemp2-cutis-laxa	EFEMP2-Related Cutis Laxa	1	ORPHA:209	Cutis laxa	titre ≠gène	1.0	0	
eln-cutis-laxa	ELN-Related Cutis Laxa	1	ORPHA:209	Cutis laxa	titre ≠gène	1.0	0	
kat6b-dis	KAT6B Disorders	1	ORPHA:597749	KAT6B-related multiple congenital anomalies syndrome	titre ≠gène	1.0	0	
ltbp4-cutis-laxa	LTBP4-Related Cutis Laxa	0	ORPHA:209	Cutis laxa	titre ≠gène	1.0	0	
oca-oa-ov	Oculocutaneous Albinism and Ocular Albinism Overview	0	ORPHA:98706	Oculocutaneous or ocular albinism	titre ≠num	1.0	0	
pkd-ad	Polycystic Kidney Disease, Autosomal Dominant	1	ORPHA:731	Autosomal recessive polycystic kidney disease	titre ≠hérédité	1.0	0	
pol3-leuk	POLR3-Related Leukodystrophy	1	ORPHA:68356	Leukodystrophy	titre ≠groupe	1.0	0	
x-dcdp	EBP-Related X-Linked Chondrodysplasia Punctata	1	ORPHA:35173	X-linked dominant chondrodysplasia punctata	titre ≠hérédité	1.0	0	
fbln5-cutis-laxa	FBLN5-Related Cutis Laxa	0	ORPHA:209	Cutis laxa	titre ≠gène	1.0	0	
marfan	FBN1-Related Marfan Syndrome	1	ORPHA:558	Marfan syndrome	titre ≠gène	1.0	0	
opd	FLNA-Related Otopalatodigital Spectrum Disorders	1	ORPHA:364541	Otopalatodigital syndrome spectrum disorder	titre ≠gène	1.0	0	
tcirg1-opt	TCIRG1-Related Osteopetrosis	1	ORPHA:53	Albers-Schönberg osteopetrosis	titre ≠gène ≠num	1.0	0	
ada	Adenosine Deaminase Deficiency	1	ORPHA:404553	Deficiency of adenosine deaminase 2	titre ≠num	1.0	0	
ada	Adenosine Deaminase Deficiency	1	ORPHA:404553	Deficiency of adenosine deaminase 2	titre ≠num	1.0	0	
alpk1-auto	ALPK1-Related Autoinflammatory Disease	0	ORPHA:93665	Autoinflammatory syndrome	titre ≠gène ≠groupe	1.0	0	
ankrd17-nds	ANKRD17-Related Neurodevelopmental Syndrome	0	ORPHA:717823	Global developmental delay-recurrent infections-facial dysmorphism syndrome	titre ≠gène	1.0	0	
cdp1-xlr	Chondrodysplasia Punctata 1, X-Linked	0	ORPHA:35173	X-linked dominant chondrodysplasia punctata	titre ≠num ≠hérédité	1.0	0	
chkb-md	CHKB-Related Muscular Dystrophy	1	ORPHA:98473	Muscular dystrophy	titre ≠gène ≠groupe	1.0	0	
cln3-dis	CLN3-Related Disorder	0	ORPHA:228346	CLN3 disease	titre ≠gène	1.0	0	
cmt4c	SH3TC2-Related Hereditary Motor and Sensory Neuropathy	0	ORPHA:773	Adult Refsum disease	titre ≠gène ≠num	1.0	0	
cyld-cs	CYLD Cutaneous Syndrome	0	ORPHA:79493	Brooke-Spiegler syndrome	titre ≠gène	1.0	0	
dcm-lmna	LMNA-Related Dilated Cardiomyopathy	0	ORPHA:217619	Syndrome associated with dilated cardiomyopathy	titre ≠gène ≠groupe	1.0	0	
depdc5-epilepsy	DEPDC5-Related Epilepsy	0	ORPHA:166463	Epilepsy syndrome	titre ≠gène ≠groupe	1.0	0	
dyrk1a-id	DYRK1A Syndrome	1	ORPHA:464306	DYRK1A-related intellectual disability syndrome	titre ≠gène	1.0	0	
echs1-def	Mitochondrial Short-Chain Enoyl-CoA Hydratase Deficiency	1	ORPHA:653880	Mitochondrial short-chain enoyl-CoA hydratase 1 deficiency	titre ≠num	1.0	0	
ed2	Hidrotic Ectodermal Dysplasia 2	0	ORPHA:189	Hidrotic ectodermal dysplasia	titre ≠num	1.0	0	
edm	SLC26A2-Related Multiple Epiphyseal Dysplasia	1	ORPHA:251	Multiple epiphyseal dysplasia	titre ≠gène	1.0	0	
epp-ar	Erythropoietic Protoporphyria, Autosomal Recessive	0	ORPHA:443197	X-linked erythropoietic protoporphyria	titre ≠num ≠hérédité	1.0	0	
epp-xl	X-Linked Protoporphyria	0	ORPHA:443197	X-linked erythropoietic protoporphyria	titre ≠hérédité	1.0	0	
fbxl4-mtddepl	FBXL4-Related Encephalomyopathic Mitochondrial DNA Depletion Syndrome	1	ORPHA:254803	Mitochondrial DNA depletion syndrome, encephalomyopathic form	titre ≠gène	1.0	0	
foxp2-sl-dis	FOXP2-Related Speech and Language Disorder	0	ORPHA:209908	Isolated childhood apraxia of speech	titre ≠num	1.0	0	
ftdp-17	MAPT-Related Frontotemporal Dementia	0	ORPHA:282	Frontotemporal dementia	titre ≠gène	1.0	0	
isca2-mt-dis	ISCA2-Related Mitochondrial Disorder	1	ORPHA:68380	Mitochondrial disease	titre ≠gène ≠groupe	1.0	0	
jh	HAMP- and HJV-Related Hemochromatosis	0	ORPHA:79230	HJV or HAMP-related hemochromatosis	titre ≠num	1.0	0	
kcnt1-epilepsy	KCNT1-Related Epilepsy	1	ORPHA:166463	Epilepsy syndrome	titre ≠gène ≠groupe	1.0	0	
kennedy	Spinal and Bulbar Muscular Atrophy	0	ORPHA:481	Kennedy disease	titre ≠num	1.0	0	
lad-ad	LMNB1-Related Autosomal Dominant Leukodystrophy	0	ORPHA:68356	Leukodystrophy	titre ≠gène ≠groupe	1.0	0	
phts	PTEN Hamartoma Tumor Syndrome	1	ORPHA:306498	PTEN hamartoma tumor syndrome	titre ≠gène	1.0	0	
pik3ca-overgrowth	PIK3CA-Related Overgrowth Spectrum	1	ORPHA:530313	PIK3CA-related overgrowth spectrum disorder	titre ≠gène	1.0	0	
pmld1	Pelizaeus-Merzbacher-Like Disease 1	1	ORPHA:280270	Pelizaeus-Merzbacher-like disease	titre ≠num	1.0	0	
sedt	X-Linked Spondyloepiphyseal Dysplasia Tarda	1	ORPHA:93284	Spondyloepiphyseal dysplasia tarda	titre ≠num	1.0	0	
spg4	Spastic Paraplegia 4	0	ORPHA:99013	Spastic paraplegia type 7	titre ≠num	1.0	0	
spg8	Spastic Paraplegia 8	0	ORPHA:99013	Spastic paraplegia type 7	titre ≠num	1.0	0	
suclg1-mtddepl	SUCLG1-Related Mitochondrial DNA Depletion Syndrome, Encephalomyopathic Form with Methylmalonic Aciduria	1	ORPHA:1933	Mitochondrial DNA depletion syndrome, encephalomyopathic form with methylmalonic aciduria	titre ≠gène	1.0	0	
tay-sachs	HEXA Disorders	1	ORPHA:845	Tay-Sachs disease	titre ≠gène	1.0	0	
usp7-ndd	USP7-Related Hao-Fountain Syndrome	1	ORPHA:643549	Hao-Fountain syndrome	titre ≠gène	1.0	0	
als-ftd	C9orf72 Frontotemporal Dementia and/or Amyotrophic Lateral Sclerosis	0	ORPHA:275872	Frontotemporal dementia with motor neuron disease	titre ≠num	0.83	0	
prop1	PROP1-Related Combined Pituitary Hormone Deficiency	1	ORPHA:467	Non-acquired combined pituitary hormone deficiency	titre ≠gène ≠groupe	0.8	0	
cmt2a	MFN2 Hereditary Motor and Sensory Neuropathy	0	ORPHA:773	Adult Refsum disease	titre ≠gène ≠num	0.8	0	
ca5a-def	Carbonic Anhydrase VA Deficiency	1	ORPHA:2785	Osteopetrosis with renal tubular acidosis	titre ≠num	0.75	0	
cpt1a	Carnitine Palmitoyltransferase 1A Deficiency	1	ORPHA:157	Carnitine palmitoyltransferase II deficiency	titre ≠num	0.75	0	
fhm	Familial Hemiplegic Migraine	1	ORPHA:569	Familial or sporadic hemiplegic migraine	titre ≠num	0.75	0	
grin2d-dee	GRIN2D-Related Developmental and Epileptic Encephalopathy	0	ORPHA:163681	CNTNAP2-related developmental and epileptic encephalopathy	titre ≠gène	0.75	0	
kss	Single Large-Scale Mitochondrial DNA Deletion Syndromes	0	ORPHA:254767	Mitochondrial oxidative phosphorylation disorder due to a large-scale single deletion of mitochondrial DNA	titre ≠num ≠groupe	0.75	0	
lchad	Long-Chain Hydroxyacyl-CoA Dehydrogenase Deficiency / Trifunctional Protein Deficiency	1	ORPHA:5	Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency	titre ≠num	0.75	0	
mpv17-mtdep	MPV17-Related Mitochondrial DNA Maintenance Defect	1	ORPHA:352456	Mitochondrial DNA maintenance syndrome	titre ≠gène ≠groupe	0.75	0	
pendred	SLC26A4-Related Sensorineural Hearing Loss	1	ORPHA:33355	Reticular dysgenesis	titre ≠gène	0.75	0	
traps	TNF Receptor-Associated Periodic Fever Syndrome	0	ORPHA:32960	Tumor necrosis factor receptor 1 associated periodic syndrome	titre ≠num	0.75	0	
vlcad	Very Long-Chain Acyl-Coenzyme A Dehydrogenase Deficiency	1	ORPHA:26793	Very long chain acyl-CoA dehydrogenase deficiency	titre ≠num	0.75	0	
xxms	Nonsyndromic 46,XX Testicular Disorders/Differences of Sex Development	1	ORPHA:393	46,XX testicular difference of sex development	titre	0.71	0	
aspm-pm	ASPM Primary Microcephaly	1	ORPHA:2512	Autosomal recessive primary microcephaly	titre	0.67	0	
chd8-ndd-og	CHD8-Related Neurodevelopmental Disorder with Overgrowth	0	ORPHA:642675	CHD8 overgrowth syndrome	titre	0.67	0	
cls	RPS6KA3-Related Intellectual Disability	0	ORPHA:163937	X-linked intellectual disability, Najm type	titre ≠gène ≠num	0.67	0	
ext	Hereditary Multiple Osteochondromas	0	ORPHA:321	Multiple osteochondromas	titre	0.67	0	
