signe	suffixe	hpo_id	label_hpo	occurrences	choix
developmental delay intellectual disability	intellectual disability	HP:0001249	Intellectual disability	23	
mild-to-moderate intellectual disability	intellectual disability	HP:0001249	Intellectual disability	7	
postnatal short stature	short stature	HP:0004322	Short stature	6	
infant feeding difficulties	feeding difficulties	HP:0011968	Feeding difficulties	4	
mild-to-severe intellectual disability	intellectual disability	HP:0001249	Intellectual disability	4	
type 2 diabetes mellitus	diabetes mellitus	HP:0000819	Diabetes mellitus	3	
small widely spaced teeth	widely spaced teeth	HP:0000687	Widely spaced teeth	3	
dilated perivascular spaces	perivascular spaces	HP:0012520	Dilation of Virchow-Robin spaces	3	
moderate-to-profound intellectual disability	intellectual disability	HP:0001249	Intellectual disability	3	
low-set and posteriorly rotated ears	posteriorly rotated ears	HP:0000358	Posteriorly rotated ears	3	
pre- and postnatal growth deficiency	postnatal growth deficiency	HP:0008897	Postnatal growth retardation	3	
first-degree atrioventricular block	atrioventricular block	HP:0001678	Atrioventricular block	3	
childhood apraxia of speech	apraxia of speech	HP:0011098	Speech apraxia	3	
median cleft lip	cleft lip	HP:0410030	Cleft lip	2	
multilevel airway obstruction	airway obstruction	HP:0006536	Airway obstruction	2	
moderate-to-severe intellectual disability	intellectual disability	HP:0001249	Intellectual disability	2	
distal esophageal stenosis	esophageal stenosis	HP:0010450	Esophageal stenosis	2	
short-limb short stature	short stature	HP:0004322	Short stature	2	
increased dental caries	dental caries	HP:0000670	Carious teeth	2	
short-limbed short stature	short stature	HP:0004322	Short stature	2	
long narrow face	narrow face	HP:0000275	Narrow face	2	
postnatal growth delay	growth delay	HP:0001510	Growth delay	2	
early-onset degenerative joint disease	degenerative joint disease	HP:0002758	Osteoarthritis	2	
severe-to-profound intellectual disability	intellectual disability	HP:0001249	Intellectual disability	2	
supravalvar aortic stenosis	aortic stenosis	HP:0001650	Aortic valve stenosis	2	
chronic intestinal pseudoobstruction	intestinal pseudoobstruction	HP:0004389	Intestinal pseudo-obstruction	2	
lower-limb focal dystonia	focal dystonia	HP:0004373	Focal dystonia	2	
hyperkinetic movement disorder	movement disorder	HP:0100022	Abnormality of movement	2	
upper respiratory infections	respiratory infections	HP:0011947	Respiratory tract infection	2	
female breast cancer	breast cancer	HP:0003002	Breast carcinoma	2	
slowly progressive behavioral changes	behavioral changes	HP:0000708	Atypical behavior	2	
pes cavus foot deformity	foot deformity	HP:0001760	Abnormal foot morphology	2	
high steppage gait	steppage gait	HP:0003376	Steppage gait	2	
progressive symmetric muscle weakness	muscle weakness	HP:0001324	Muscle weakness	2	
developmental and epileptic encephalopathy	epileptic encephalopathy	HP:0200134	Epileptic encephalopathy	2	
deficiency of prenatal onset	prenatal onset	HP:0030674	Antenatal onset	1	
lack of body odor	body odor	HP:0500001	Body odor	1	
slowly progressive neurologic abnormalities	neurologic abnormalities	HP:0000707	Abnormality of the nervous system	1	
lack of metaphyseal flaring	metaphyseal flaring	HP:0003015	Flared metaphysis	1	
anterior tibial muscle weakness	muscle weakness	HP:0001324	Muscle weakness	1	
distal and proximal symphalangism	proximal symphalangism	HP:0100264	Proximal symphalangism	1	
primary immune deficiency	immune deficiency	HP:0002721	Immunodeficiency	1	
hypoplasia aplasia of the pectoralis major muscle	aplasia of the pectoralis major muscle	HP:0009751	Aplasia of the pectoralis major muscle	1	
abnormally small carpal bones	small carpal bones	HP:0001498	Carpal bone hypoplasia	1	
