brut	canonique	occurrences
thrombus	thrombose	13
inflammation des membranes chorio-amniotiques	chorioamniotite	4
calcifications	calcification	3
infiltrat à polynucléaires neutrophiles	infiltrat de polynucléaires neutrophiles	2
vasculite	vascularite	2
hypoplasie villositaire	hypoplasie villositaire distale	2
infiltrat neutrophilique	infiltrat de polynucléaires neutrophiles	1
macrophages pigmentés au méconium	macrophages chargés de méconium	1
macrophages chargés de pigment ferrique	macrophages chargés d'hémosidérine	1
hématies nucléées circulantes	érythroblastes circulants	1
érythroblastes intravasculaires	érythroblastes circulants	1
défaut de remodelage	défaut de remodelage physiologique	1
défaut de transformation physiologique	défaut de remodelage physiologique	1
chorioangiome	chorangiome	1
nécrose fibrinoïde	nécrose fibrinoïde pariétale	1
nécrose de la média musculaire	nécrose des myocytes de la média	1
asymétrie pariétale	asymétrie de l'épaisseur pariétale	1
dilatation vasculaire	ectasie vasculaire	1
hémosidérose	dépôt d'hémosidérine	1
oblitération luminale vasculaire	oblitération vasculaire	1
karyorrhexie stromale-vasculaire	caryorrhexie stromale-vasculaire	1
karyorrhexie stromale	caryorrhexie stromale	1
dépôt de fibrine intramurale	dépôt de fibrine intramural	1
agglutination villositaire par dépôt de fibrinoïde périvillositaire	agglutination villositaire	1
hypertrophie placentaire	placentomégalie	1
augmentation du poids placentaire	placentomégalie	1
hypertrophie murale	hypertrophie pariétale	1
hypertrophie musculaire de la paroi vasculaire	hypertrophie pariétale	1
dépôts de glycogène	dépôt de glycogène	1
accumulation de glycogène	dépôt de glycogène	1
érythroblastose	érythroblastes circulants	1
infiltrat inflammatoire intervillositaire	intervillosite	1
infiltrat histiocytaire intervillositaire	intervillosite histiocytaire	1
pseudo-inclusions trophoblastiques	pseudo-inclusion trophoblastique	1
coussinets myxoïdes intimaux	coussinet myxoïde intimal	1
insertion vélamenteuse	insertion vélamenteuse du cordon	1
immaturité villositaire	retard de maturation villositaire	1
infiltrat inflammatoire du cordon ombilical	funiculite	1
infarctus villositaire	infarctus	1
infiltrat inflammatoire plasmocytaire	infiltrat plasmocytaire	1
épaississement pariétal avec ectasie	épaississement pariétal avec ectasie luminale	1
augmentation des amas nucléaires syncytiotrophoblastiques	augmentation des nœuds syncytiaux	1
nécrose myocytaire de la paroi vasculaire	nécrose des myocytes de la paroi vasculaire	1
remnant musculaire	reliquat musculaire	1
pseudokystes	pseudokyste	1
kystes parasitaires (toxoplasme)	kyste parasitaire (toxoplasme)	1
