brut	canonique	occurrences
FVM	malperfusion vasculaire fœtale (FVM)	7
FIR	réponse inflammatoire fœtale (FIR)	6
MVM	malperfusion vasculaire maternelle (MVM)	5
chorioamniotite	chorioamnionite	5
VUE	villite chronique d'étiologie indéterminée (VUE)	4
réponse inflammatoire fœtale	réponse inflammatoire fœtale (FIR)	2
TTTS	syndrome transfuseur-transfusé (TTTS)	2
VTF (FVM)	malperfusion vasculaire fœtale (FVM)	1
vasculopathie thrombotique fœtale	malperfusion vasculaire fœtale (FVM)	1
villite chronique d'étiologie indéterminée	villite chronique d'étiologie indéterminée (VUE)	1
