brut	canonique	occurrences
villosité choriale	villosité	19
chorion et amnios	membranes chorio-amniotiques	5
vaisseaux du cordon ombilical	vaisseau ombilical	4
vaisseaux de la plaque choriale	vaisseau de la plaque choriale	3
vaisseau fœtal villositaire	vaisseau villositaire	3
artère spiralée déciduale	artère spiralée	3
artère utéro-placentaire	artère utéroplacentaire	3
membranes placentaires	membranes	3
vaisseaux allanto-choriaux	vaisseau allanto-chorial	3
gelée de Wharton du cordon ombilical	gelée de Wharton	3
membranes chorioamniotiques	membranes chorio-amniotiques	2
membranes (chorion et amnios)	membranes chorio-amniotiques	2
vaisseau de villosité-tronc	vaisseau de villosité tronculaire	2
cytotrophoblaste villositaire (cellules de Langhans)	cytotrophoblaste villositaire	2
espace intervillositaire	espace intervilleux	2
vaisseau chorionique	vaisseau de la plaque choriale	2
membrane inter-fœtale	membrane de séparation gémellaire	2
vaisseaux ombilicaux	vaisseau ombilical	2
décidua des membranes	décidue des membranes	2
villosité d'ancrage de la plaque basale	villosité d'ancrage	2
vaisseaux fœtaux	vaisseau fœtal	2
membranes extraplacentaires	membranes libres	1
chorioamnios	membranes chorio-amniotiques	1
région sous-choriale (plaque choriale)	région sous-choriale	1
plaque choriale, versant subchorial	région sous-choriale	1
capillaire fœtal villositaire	capillaire villositaire fœtal	1
décidua capsulaire	décidue capsulaire	1
décidua pariétale	décidue pariétale	1
décidua	décidue	1
caduque	décidue	1
décidue maternelle	décidue	1
trophoblaste et caduque	trophoblaste et décidue	1
vaisseau de villosité tronc	vaisseau de villosité tronculaire	1
vaisseau du tronc villositaire	vaisseau de villosité tronculaire	1
vaisseaux vitellins du cordon ombilical	reliquat de vaisseaux vitellins du cordon ombilical	1
reliquat allantoïdien du cordon ombilical	reliquat du canal allantoïque du cordon ombilical	1
reliquat du canal allantoïque	reliquat du canal allantoïque du cordon ombilical	1
amnion	amnios	1
espace périvilleux	espace périvillositaire	1
couche cytotrophoblastique villositaire	cytotrophoblaste villositaire	1
syncytiotrophoblaste villositaire	syncytiotrophoblaste	1
canal omphalomésentérique	canal omphalo-mésentérique	1
villosités	villosité	1
parenchyme villeux	parenchyme placentaire	1
chambre intervilleuse	espace intervilleux	1
vaisseaux choriaux (plaque choriale)	vaisseau de la plaque choriale	1
vaisseau chorial de la plaque choriale	vaisseau de la plaque choriale	1
vaisseaux choriaux de la plaque choriale	vaisseau de la plaque choriale	1
vaisseau chorial	vaisseau de la plaque choriale	1
espace sous-chorionique	espace sous-chorial	1
vaisseaux fœtaux placentaires	vaisseau fœtal placentaire	1
tronc villositaire	villosité souche	1
artère spiralée utéroplacentaire	artère spiralée	1
vaisseaux allantochoriaux	vaisseau allanto-chorial	1
chorion lisse	chorion laeve	1
décidue basale (plaque basale)	décidue basale	1
gelée de wharton	gelée de Wharton	1
espace sous-amniotique	région sous-amniotique	1
membrane basale trophoblastique villositaire	membrane basale trophoblastique	1
décidue des membranes libres	décidue des membranes	1
cellule cytotrophoblastique	cytotrophoblaste	1
artère ombilicale et veine ombilicale	vaisseaux du cordon ombilical	1
cytotrophoblaste extravilleux	trophoblaste extravilleux	1
cellule de hofbauer	macrophage villositaire	1
vaisseau villositaire souche	vaisseau de villosité souche	1
villosité basale (plaque basale)	villosité de la plaque basale	1
interface amnios/chorion	interface chorio-amniotique	1
interface chorioamniotique	interface chorio-amniotique	1
interface chorion/décidue	interface chorio-déciduale	1
vaisseau chorionique et ombilical	vaisseaux du cordon ombilical et de la plaque choriale	1
vaisseaux déciduaux	vaisseau décidual	1
décidua et myomètre	décidue et myomètre	1
plancher placentaire	plaque basale	1
