id	niveau	lesion	site	qualifieurs	pattern	compartiment	label_fr	doute
FOETO:PP.PAR-MAL-003	entite					parenchyme	Placenta accreta spectrum	libellé désignant un spectre d'entités (accreta/increta/percreta) sans lésion élémentaire ni siège précisé
FOETO:PP.PAR-MET-001	element	dépôt de glycogène	syncytiotrophoblaste			parenchyme	Accumulation de glycogène dans le syncytiotrophoblaste	
FOETO:PP.PAR-MET-002	element	accumulation lysosomale de glycogène	placenta			parenchyme	Accumulation lysosomale de glycogène dans le placenta	siège non précisé au-delà de l'organe entier
FOETO:PP.PAR-MET-003	element	athérose	décidue	aigu		parenchyme	Athérose aiguë déciduale	vaisseau atteint non nommé dans le libellé (artère spiralée sous-entendue)
FOETO:PP.PAR-MET-004	element	calcification		augmenté en nombre|diffus		parenchyme	Calcifications	siège des calcifications non précisé
FOETO:PP.PAR-MET-005	entite	falciformation érythrocytaire	espace intervilleux			parenchyme	Drépanocytose placentaire	
FOETO:PP.PAR-MET-006	element	dépôt d'hémosidérine	macrophage chorionique			parenchyme	Hémosidérine dans les macrophages chorioniques	
FOETO:PP.PAR-MET-007	element	vacuolisation	macrophage villositaire			parenchyme	Vacuolisation des cellules de Hofbauer	
FOETO:PP.PAR-MET-008	element	vacuolisation	cellule déciduale			parenchyme	Vacuolisation des décidues (cellules déciduales)	
FOETO:PP.PAR-MET-009	element	vacuolisation	cytotrophoblaste villositaire			parenchyme	Vacuolisation du cytotrophoblaste villositaire	
FOETO:PP.PAR-MET-010	element	vacuolisation	syncytiotrophoblaste			parenchyme	Vacuolisation du syncytiotrophoblaste	
FOETO:PP.PAR-NOR-000	structure		parenchyme placentaire	normal		parenchyme	Parenchyme normal	libellé de normalité (absence de lésion), non factorisable en lésion élémentaire
FOETO:PP.PAR-NOR-001	element	augmentation des nœuds syncytiaux		augmenté en nombre|diffus		parenchyme	ANSCT augmentés	siège villositaire non explicite dans le libellé
FOETO:PP.PAR-NOR-002	structure			monochorionique		parenchyme	Anastomose vasculaire fœto-fœtale (jumeaux monochorioniques)	repère vasculaire architectural, siège (plaque choriale) non précisé dans le libellé
FOETO:PP.PAR-NOR-003	element					parenchyme	Autre (histo)	libellé fourre-tout sans contenu descriptif, non factorisable
FOETO:PP.PLA-CLA-010	element	nécrose	décidue			placenta	Nécrose déciduale	libellé générique : ni siège précis (basale/pariétale) ni étendue
FOETO:PP.PLA-CLA-011	element	nécrose	décidue des membranes			placenta	Nécrose déciduale membraneuse	
FOETO:PP.PLA-CLA-012	element	nécrose laminaire	décidue des membranes			placenta	Nécrose laminaire de la décidua des membranes	
FOETO:PP.PLA-CLA-013	element	nécrose des myocytes de la média	vaisseau ombilical			placenta	Nécrose musculaire vasculaire ombilicale	
FOETO:PP.PLA-CLA-014	element	nécrose	cytotrophoblaste	primaire		placenta	Nécrose primaire du cytotrophoblaste	
FOETO:PP.PLA-CLA-015	element	nécrose	syncytiotrophoblaste	focal		placenta	Nécrose syncytiale focale	
FOETO:PP.PLA-CLA-016	element	paucité des membranes vasculo-syncytiales	membrane vasculo-syncytiale			placenta	Paucité des membranes vasculo-syncytiales	
FOETO:PP.PLA-CLA-017	element	villosités avasculaires avec changements dégénératifs (karyorrhexie, microcalcifications, ferrugination)	villosité			placenta	Villosités avasculaires avec dégénérescence (karyorrhexie, calcifications, ferrugination)	libellé composite regroupant plusieurs altérations élémentaires en une seule chaîne
FOETO:PP.PLA-CLA-018	element	nécrose	base des septa placentaires	focal		placenta	Zones nécrotiques à la base des septa placentaires	
FOETO:PP.PLA-DYS-001	element	calcification	vaisseau placentaire			placenta	Calcification vasculaire placentaire	
FOETO:PP.PLA-DYS-002	element	citerne	villosité			placenta	Citerne villeuse	
FOETO:PP.PLA-DYS-003	element	excès de gelée de Wharton avec épaississement	cordon ombilical			placenta	Cordon ombilical épaissi avec excès de gelée de Wharton	
FOETO:PP.PLA-DYS-004	element	ectasie vasculaire	vaisseau villositaire			placenta	Dilatation vasculaire fœtale villositaire	
FOETO:PP.PLA-DYS-005	element	distribution non périphérique des capillaires	villosité			placenta	Distribution non périphérique des capillaires villositaires	
FOETO:PP.PLA-DYS-006	element	défaut de remodelage physiologique	artère spiralée			placenta	Défaut de remodelage des artères spiralées	
FOETO:PP.PAR-INF-004	element	villite	villosité	aigu		parenchyme	Villite aiguë	
FOETO:PP.PAR-INF-005	element	villite	villosité de la plaque basale	basal|chronique		parenchyme	Villite basale chronique	
FOETO:PP.PAR-INF-006	element	villite	villosité	chronique		parenchyme	Villite chronique	
FOETO:PP.PAR-INF-007	entite	villite	villosité	chronique|étiologie inconnue	villite chronique d'étiologie indéterminée (VUE)	parenchyme	Villite chronique d'étiologie inconnue (VCEI)	
FOETO:PP.PAR-INF-008	element	villite lympho-plasmocytaire	villosité	chronique		parenchyme	Villite chronique lympho-plasmocytaire	
FOETO:PP.PAR-INF-009	element	villite granulomateuse	villosité			parenchyme	Villite granulomateuse	
FOETO:PP.PAR-INF-010	element	villite nécrosante	villosité	nécrosant		parenchyme	Villite nécrosante	
FOETO:PP.PAR-INF-011	entite	infiltrat de polynucléaires neutrophiles	région sous-choriale	aigu|stade 1	réponse inflammatoire maternelle (MIR)	parenchyme	MIR Stage 1 — Chorionite subchoriale aiguë	libellé (chorionite subchoriale) et description micro (infiltrat décidual sans extension au chorion) désignent des sièges différents
FOETO:PP.PAR-INF-012	entite	infiltrat de polynucléaires neutrophiles	membranes chorio-amniotiques	aigu|stade 2	réponse inflammatoire maternelle (MIR)	parenchyme	MIR Stage 2 — Chorioamniotite aiguë	
FOETO:PP.PAR-INF-013	entite	infiltrat à polynucléaires neutrophiles avec nécrose de l'amnios	membranes chorio-amniotiques	aigu|nécrosant|stade 3	réponse inflammatoire maternelle (MIR)	parenchyme	MIR Stage 3 — Chorioamniotite nécrosante	
FOETO:PP.PAR-INF-014	element	abcès	décidue	aigu|grade 1	réponse inflammatoire maternelle (MIR)	parenchyme	MIR Grade 1 — Abcès décidual	
FOETO:PP.PAR-INF-015	entite	infiltrat plasmocytaire	décidue basale	chronique|multiple|épars		parenchyme	Déciduite chronique	
FOETO:PP.PAR-INF-016	entite	vascularite à polynucléaires neutrophiles	vaisseau de la plaque choriale	aigu|stade 1	réponse inflammatoire fœtale (FIR)	parenchyme	RIF1 — Vasculite choriale	
FOETO:PP.PAR-MAL-001	element	hypoplasie villositaire distale	villosité terminale			parenchyme	Hypoplasie villositaire distale (déficience des villosités terminales)	
FOETO:PP.PAR-MAL-002	structure		disque placentaire	succenturié|succenturié		parenchyme	Lobe placentaire accessoire (succenturié)	anomalie morphologique macroscopique de forme, pas une lésion histologique élémentaire
FOETO:PP.PLA-NOR-013	element	dysplasie villositaire	villosité	alternance avec villosités normales|aspect en mosaïque		placenta	Aspect en mosaïque de villosités normales et dysplasiques	libellé descriptif d'un aspect panoramique : la lésion élémentaire (dysplasie villositaire) n'est pas précisée histologiquement
FOETO:PP.PLA-NOR-014	element	asymétrie de l'épaisseur pariétale	vaisseau chorionique de surface			placenta	Asymétrie de l'épaisseur pariétale des vaisseaux chorioniques de surface	
FOETO:PP.PLA-NOR-015	element	asymétrie de l'épaisseur pariétale	vaisseau de la plaque choriale	amincissement		placenta	Asymétrie de la paroi des vaisseaux de la plaque choriale	
