hpo_id	label_en	syndromes_portant_le_signe	forme_fr_a_ecrire
HP:0003394	Muscle spasm	20	
HP:0002380	Fasciculations	8	
HP:0002257	Chronic rhinitis	6	
HP:0011109	Chronic sinusitis	6	
HP:0100242	Sarcoma	6	
HP:0012032	Lipoma	6	
HP:0004755	Supraventricular tachycardia	5	
HP:0010775	Vascular ring	3	
HP:0010298	Smooth tongue	3	
HP:0010701	Abnormal immunoglobulin level	3	
HP:0010502	Fibular bowing	3	
HP:0005160	Total anomalous pulmonary venous return	2	
HP:0007717	Chronic irritative conjunctivitis	2	
HP:0006747	Ganglioneuroblastoma	2	
HP:0011971	Dermatographic urticaria	1	
HP:0004469	Chronic bronchitis	1	
HP:0011700	Automatic atrial tachycardia	1	
HP:0012539	Non-Hodgkin lymphoma	1	
