organe_llm	signe	n_syndromes	syndromes
adrenal	clear, vacuolated fz cells containing much stainable lipid	1	FAMILLE Hydrops fetalis non immun
adrenal	hyaline deposition in the adrenals	1	18.2 Hyaline Fibromatosis (MIM 228600)
amnion	pigmented macrophages in the connective tissue of the membranes	1	FAMILLE Épidermolyses bulleuses
amnion	polyp-like excrescences produced by protrusion of connective tissue through epithelial defects	1	FAMILLE Épidermolyses bulleuses
anterior chamber angle	anteriorly placed and enlarged schwalbe’s line associated with ridges of mesodermal tissue	1	T Axenfeld-Rieger Syndrome
aorta	accumulation of amorphous matrix components in the aortic media	3	P Loeys-Dietz Syndrome ; P Loeys-Dietz Type 1 ; P Loeys-Dietz Type 2
aorta	loss of elastin content	3	P Loeys-Dietz Syndrome ; P Loeys-Dietz Type 1 ; P Loeys-Dietz Type 2
aorta	marked excess of aortic wall collagen	3	P Loeys-Dietz Syndrome ; P Loeys-Dietz Type 1 ; P Loeys-Dietz Type 2
aortic and mitral valves	alcian blue-positive cells	1	FAMILLE Mucopolysaccharidoses
arteries	histopathological changes very similar, if not identical, to fibromuscular dysplasia	1	Q Tuberous Sclerosis Syndrome
basal ganglia	disorganization of the basal ganglia and thalamus	1	FAMILLE Holoprosencéphalies
bone	accumulation of primary spongiosa and the persistence of mineralized cartilage within the metaphyses	1	16.3 Infantile Osteopetrosis (MIM 259700, 259710, 259720, 611490)
bone	bony trabeculae are highly cellular and thin	2	14.4 Osteogenesis Imperfecta, Type IIC ; P Osteogenesis Imperfecta Syndrome, Type II  (Osteogenesis Imperfecta Congenita, Vrolik Disease)
bone	cortical bone is hypercellular with large osteocytes	2	14.5 Osteogenesis Imperfecta, Type III/IIB (MIM 259420) ; P Osteogenesis Imperfecta Syndrome, Type II  (Osteogenesis Imperfecta Congenita, Vrolik Disease)
bone	distorted lamellar structure and a fish scale-like pattern	1	14.9 Bruck Syndrome (MIM 259450, 609220, 610968)
bone	fibrous disorganization with formation of plump haphazardly arranged bony trabeculae	1	1.1 Thanatophoric Dysplasia, Types 1 and 2 (MIM 187600, 187601)
bone	focally fibrotic marrow	1	14.2 Osteogenesis Imperfecta, Type I (MIM 116200)
bone	highly cellular and thin bony trabeculae	3	14.2 Osteogenesis Imperfecta, Type I (MIM 116200) ; 14.5 Osteogenesis Imperfecta, Type III/IIB (MIM 259420) ; P Osteogenesis Imperfecta Syndrome, Type I  (Autosomal Dominant Osteogenesis Imperfecta, Lobstein Disease)
bone	histologic signs of osteomalacia	1	15.3 Hereditary Rickets (MIM 307800, 193100, 241520, 613312, 241530, 264700, 600081, 277440, 600785, 300554, 612089)
bone	hypercellular bony trabeculae	5	14.2 Osteogenesis Imperfecta, Type I (MIM 116200) ; 14.4 Osteogenesis Imperfecta, Type IIC ; 14.5 Osteogenesis Imperfecta, Type III/IIB (MIM 259420) ; P Osteogenesis Imperfecta Syndrome, Type I  (Autosomal Dominant Osteogenesis Imperfecta, Lobstein Disease)
bone	marked reduction in collagen in secondary trabeculae and cortical bone	3	14.4 Osteogenesis Imperfecta, Type IIC ; 14.5 Osteogenesis Imperfecta, Type III/IIB (MIM 259420) ; P Osteogenesis Imperfecta Syndrome, Type II  (Osteogenesis Imperfecta Congenita, Vrolik Disease)
