score	omim	nom	n_hpo	n_hpo_foetal	n_onset_prenatal	signes_lourds	orpha	dans_syndromes
46.1	OMIM:617925	Short-Rib thoracic dysplasia 20 with polydactyly	44	41	32	HP:0000175;HP:0002007;HP:0002089;HP:0003811;HP:0100258	—	
41.5	OMIM:618505	Stolerman neurodevelopmental syndrome	234	155	0	HP:0000175;HP:0000238;HP:0000252;HP:0001156;HP:0001250;HP:0001274;HP:0001511;HP:0001558;HP:0001561;HP:0001629;HP:0002007;HP:0002090;HP:0004322	ORPHA:528084	dans syndromes
37.1	OMIM:619488	DEGCAGS syndrome	125	101	9	HP:0000252;HP:0001274;HP:0001511;HP:0001561;HP:0001622;HP:0001629;HP:0001631;HP:0002090;HP:0002240	ORPHA:528084	dans syndromes
36.9	OMIM:265380	Alveolar capillary dysplasia with misalignment of pulmonary veins	80	69	20	HP:0000175;HP:0001561;HP:0001629;HP:0001631;HP:0003811	ORPHA:210122	
36.5	OMIM:300868	Multiple congenital anomalies-hypotonia-seizures syndrome 2	202	145	0	HP:0000252;HP:0001250;HP:0001321;HP:0001522;HP:0001561;HP:0001631;HP:0001744;HP:0001789;HP:0002090;HP:0002240;HP:0004322	ORPHA:300496	
35.7	OMIM:617866	Short-Rib thoracic dysplasia 18 with polydactyly	28	27	27	HP:0000238;HP:0001156;HP:0100258	—	
35.6	OMIM:621220	Guillouet-Gordon syndrome	196	136	0	HP:0000175;HP:0000776;HP:0001250;HP:0001274;HP:0001511;HP:0001561;HP:0001562;HP:0001629;HP:0001631;HP:0002007;HP:0004322	—	
34.4	OMIM:621184	Tayoun-Maawali syndrome	119	84	0	HP:0000104;HP:0000107;HP:0000238;HP:0000252;HP:0000821;HP:0001250;HP:0001511;HP:0001562;HP:0001622;HP:0001629;HP:0001631;HP:0002089;HP:0004322	—	
33.2	OMIM:301118	Intellectual developmental disorder, X-linked syndromic 37	201	152	0	HP:0000175;HP:0000821;HP:0001250;HP:0001561;HP:0001562;HP:0001622;HP:0001629;HP:0001631;HP:0002007	—	
32.9	OMIM:621302	Neurodevelopmental disorder with seizures and joint laxity	153	89	0	HP:0000175;HP:0001156;HP:0001250;HP:0001511;HP:0001558;HP:0001562;HP:0001622;HP:0001627;HP:0001629;HP:0001631;HP:0002007;HP:0004322	—	
31.0	OMIM:619841	Chilton-Okur-Chung neurodevelopmental syndrome	106	80	7	HP:0000252;HP:0001274;HP:0001511;HP:0001558;HP:0001561;HP:0001562;HP:0002007;HP:0004322	—	
29.6	OMIM:616900	Hypotonia, infantile, with psychomotor retardation and characteristic facies 3	119	86	3	HP:0000238;HP:0000252;HP:0000821;HP:0001250;HP:0001321;HP:0001558;HP:0001561;HP:0001562;HP:0002093	ORPHA:488632	
29.1	OMIM:621533	Neurodevelopmental disorder with seizures and impaired intellectual and language development	138	91	0	HP:0000252;HP:0000821;HP:0001250;HP:0001558;HP:0001561;HP:0001622;HP:0001627;HP:0001631;HP:0002093;HP:0004322	—	
28.5	OMIM:619534	Biliary, renal, neurologic, and skeletal syndrome	107	85	0	HP:0000238;HP:0001250;HP:0001395;HP:0001561;HP:0001629;HP:0001744;HP:0002007;HP:0002240;HP:0003811;HP:0004322	—	
