score	omim	nom	n_onset_prenatal	signes_foetaux	orpha
44	OMIM:617925	Short-Rib thoracic dysplasia 20 with polydactyly	32	hypoplasie pulm;décès néonat	—
33	OMIM:617866	Short-Rib thoracic dysplasia 18 with polydactyly	27		—
28	OMIM:265380	Alveolar capillary dysplasia with misalignment of pulmonary veins	20	polyhydramnios;décès néonat	ORPHA:210122
26	OMIM:618815	Chromosome 1p36.33 duplication syndrome, ATAD3 gene cluster	17	décès nourrisson;hydrops;akinésie	ORPHA:656279
24	OMIM:236500	Multinucleated neurons, anhydramnios, renal dysplasia, cerebellar hypoplasia, and hydranencephaly	8	oligohydramnios;hypoplasie pulm;décès néonat;mort-né	ORPHA:500135
23	OMIM:617926	Orofaciodigital syndrome XVII	23		—
23	OMIM:600001	Pancreatic agenesis and congenital heart defects	13	HDC;RCIU	ORPHA:2255
19	OMIM:619841	Chilton-Okur-Chung neurodevelopmental syndrome	7	RCIU;MFA↓;polyhydramnios;oligohydramnios	—
19	OMIM:617022	Lethal congenital contracture syndrome 10	0	RCIU;oligohydramnios;hydrops;akinésie;hypoplasie pulm	ORPHA:464366
18	OMIM:619488	DEGCAGS syndrome	9	RCIU;polyhydramnios;prématurité	ORPHA:528084
18	OMIM:616546	Short-Rib thoracic dysplasia 14 with polydactyly	0	HDC;polyhydramnios;hydrops;hypoplasie pulm	ORPHA:397715
17	OMIM:612540	Myopathy, congenital, compton-north	0	décès nourrisson;MFA↓;polyhydramnios;prématurité;akinésie	ORPHA:210163
17	OMIM:608104	Congenital disorder of glycosylation, type Ih	0	RCIU;décès nourrisson;MFA↓;oligohydramnios;décès néonat	ORPHA:79325
16	OMIM:616897	Osteochondrodysplasia, complex lethal, Symoens-Barnes-Gistelinck type	0	RCIU;polyhydramnios;hydrops;hypoplasie pulm	ORPHA:457378
16	OMIM:616866	Spinal muscular atrophy with congenital bone fractures 1	2	MFA↓;oligohydramnios;prématurité;hypoplasie pulm	ORPHA:486811
16	OMIM:616503	Lethal congenital contracture syndrome 9	0	RCIU;MFA↓;polyhydramnios;hypoplasie pulm	—
16	OMIM:616287	Lethal congenital contracture syndrome 8	0	décès nourrisson;MFA↓;polyhydramnios;décès néonat	ORPHA:2680
16	OMIM:616165	Nemaline myopathy 10	1	décès nourrisson;MFA↓;polyhydramnios;prématurité;décès néonat	ORPHA:171430,ORPHA:171436
16	OMIM:269860	Short-rib thoracic dysplasia 12	0	RCIU;polyhydramnios;hypoplasie pulm;décès néonat	ORPHA:93268
16	OMIM:245400	Mitochondrial DNA depletion syndrome 9 (encephalomyopathic type with methylmalonic aciduria)	7	RCIU;décès nourrisson;décès néonat	ORPHA:17
15	OMIM:621295	Cerebral arteriopathy, autosomal recessive, with subcortical infarcts and leukoencephalopathy 1	0	HDC;RCIU;MFA↓;polyhydramnios;oligohydramnios	—
15	OMIM:621184	Tayoun-Maawali syndrome	0	agénésie rénale;RCIU;oligohydramnios;prématurité;hypoplasie pulm	—
15	OMIM:618846	Diets-Jongmans syndrome	9	HDC;polyhydramnios	ORPHA:633004
15	OMIM:618839	Combined oxidative phosphorylation deficiency 42	3	RCIU;décès nourrisson;prématurité;décès néonat	—
15	OMIM:618835	Combined oxidative phosphorylation deficiency 40	3	RCIU;décès nourrisson;prématurité;décès néonat	ORPHA:570491
15	OMIM:615368	Lethal congenital contracture syndrome 5	2	décès nourrisson;MFA↓;polyhydramnios	ORPHA:363409
15	OMIM:611812	46,XX sex reversal with dysgenesis of kidneys, adrenals, and lungs	0	agénésie rénale;HDC;RCIU;oligohydramnios;hypoplasie pulm	ORPHA:139466
15	OMIM:601559	Stuve-Wiedemann syndrome	3	RCIU;décès nourrisson;oligohydramnios;hypoplasie pulm	ORPHA:3206
15	OMIM:306990	Holoprosencephaly with fetal akinesia/hypokinesia sequence	0	RCIU;MFA↓;akinésie	ORPHA:2570
