id	label_fr	referentiel	entite	role	stade	conforme	label_propose	ancre	verbatim_verifie	source	verbatim	probleme
FOETO:PP.AMN-NOR-000	Amnios normal	BENIRSCHKE	Anatomie normale des membranes extraplacentaires — amnios	structure		oui		oui	oui	khong2019 ch2	The amnion is closely related to the epidermis; rounded foci of squamous metaplasia are common in the mature placenta.	
FOETO:PP.AUP-INF-001	Artérite déciduale	AMSTERDAM	MVM — artériopathie déciduale	manifestation		non_standard	Périvascularite chronique déciduale (manifestation d'artériopathie déciduale)	oui	oui	benirschke ch19	Perivascular chronic vasculitis is also one of the features of decidual arteriopathy and likely plays a role in at least some conditions associated with atherosis.	Libellé imprécis : ni temporalité ni type d'infiltrat, alors que le corpus ne décrit qu'une périvascularite chronique lymphocytaire ; risque de confusion avec une artérite infectieuse.
FOETO:PP.AUP-NOR-000	Artères utéro-placentaires normales (remodelage physiologique)	BENIRSCHKE	Anatomie/physiologie normale des artères utéroplacentaires — conversion physiologique des artères spiralées	structure		oui		oui	oui	benirschke ch9	During conversion, the smooth muscle and elastic tissue within the arterial walls disappear and are replaced by a fibrinoid deposit [117, 232].	
FOETO:PP.AUP-VAS-001	Défaut de remodelage des artères spiralées	AMSTERDAM	MVM — artériopathie déciduale (défaut de transformation physiologique)	manifestation		non_standard	Transformation physiologique incomplète des artères spiralées	oui	oui	khong2019 ch32	The diagnosis of incomplete transformation of the spiral arteries is problematic. Not all basal plate spiral arteries remodel, even in an entirely normal pregnancy.	« Défaut/absence de remodelage » est jugé imprécis par le corpus (le remodelage vasculaire a lieu, c'est la transformation médiée par le trophoblaste extravilleux qui est incomplète) ; doublon de contenu avec AUP-VAS-002.
FOETO:PP.AUP-VAS-002	Défaut de transformation physiologique des artères utéro-placentaires	AMSTERDAM	MVM — artériopathie déciduale (défaut de transformation physiologique)	manifestation		oui		oui	oui	khong2019 ch32	Decidual vasculopathy can have a range of appearances, including incomplete loss of the muscular wall, acute atherosis, and fibrinoid necrosis.	Recouvre exactement le même contenu que AUP-VAS-001 (deux entrées pour une seule manifestation).
FOETO:PP.AUP-VAS-003	Athérose aiguë des artères spiralées	AMSTERDAM	MVM — artériopathie déciduale (athérose aiguë)	manifestation		oui		oui	oui	khong2019 ch32	Acute atherosis or atherosis is defined by the presence of foamy macrophages within the wall of a uterine vessel.	
FOETO:PP.AUP-VAS-004	MVM — Artériopathie déciduale spiralée	AMSTERDAM	MVM — artériopathie déciduale	synonyme		non_standard	Artériopathie déciduale	oui	oui	khong2019 ch32	Maternal vasculopathy (or arteriopathy) is often referred to as decidual vasculopathy.	Libellé composite : préfixe de pattern (MVM) accolé au chapeau lésionnel, et qualificatif « spiralée » redondant alors que l'artériopathie déciduale concerne aussi les artérioles membranaires.
FOETO:PP.AUP-VAS-005	Nécrose fibrinoïde pariétale des artères spiralées	AMSTERDAM	MVM — artériopathie déciduale (nécrose fibrinoïde pariétale)	manifestation		oui		oui	oui	khong2019 ch32	Fibrinoid necrosis is an alteration of the uterine vascular wall characterized by a waxy or glassy, brightly eosinophilic degeneration in the absence of extravillous trophoblast (EVT) invasion.	
FOETO:PP.AUP-VAS-006	Thrombose des artères utéro-placentaires	AMSTERDAM	MVM — artériopathie déciduale (thrombose artérielle)	manifestation		oui		oui	oui	khong2019 ch1	Maternal uteroplacental vascular thrombosis	
FOETO:PP.CHO-NOR-000	Chorion laeve normal	BENIRSCHKE	Anatomie normale des membranes extraplacentaires — chorion laeve	structure		oui		oui	oui	benirschke ch15	the primary chorionic plate, the obliterated intervillous space together with its villous remnants, and the trophoblastic shell fuse (see Fig. 5.2) form a multilayered compact lamella, the smooth chorion [174] (also known as chorion laeve)	
FOETO:PP.COR-INF-003	FIR Stage 1 — Phlébite ombilicale / vasculite choriale	AMSTERDAM	AI — réponse inflammatoire fœtale (FIR)	stade	FIR stade 1	non_standard	FIR stade 1 — vascularite choriale ou phlébite ombilicale	oui	oui	amsterdam ch1	Stage 1—chorionic vasculitis or umbilical phlebitis	Libellé anglicisé (« Stage ») et réunion de deux sièges distincts, conforme toutefois à la définition d'Amsterdam ; le grade, axe orthogonal, n'est pas porté par le libellé.
FOETO:PP.COR-INF-004	FIR Stage 2 — Vascularite ombilicale (veine + ≥ 1 artère)	AMSTERDAM	AI — réponse inflammatoire fœtale (FIR)	stade	FIR stade 2	non_standard	FIR stade 2 — vascularite ombilicale (veine et ≥ 1 artère)	oui	oui	amsterdam ch1	Stage 2—involvement of the umbilical vein and one or more umbilical arteries	Libellé anglicisé (« Stage ») ; le grade de sévérité, axe orthogonal, doit être codé séparément.
FOETO:PP.COR-INF-005	FIR Stage 3 — Funiculite nécrosante	AMSTERDAM	AI — réponse inflammatoire fœtale (FIR)	stade	FIR stade 3	non_standard	FIR stade 3 — funisite nécrosante	oui	oui	amsterdam ch1	Stage 3—necrotizing funisitis	Orthographe non retenue (« funiculite » au lieu de « funisite ») et libellé anglicisé (« Stage »).
FOETO:PP.COR-INF-006	Funiculite aiguë (réponse fœtale à l'infection)	AMSTERDAM	AI — réponse inflammatoire fœtale (FIR)	manifestation		non_standard	Funisite aiguë	oui	oui	khong2019 ch55	Acute funisitis is an acute inflammatory response in the umbilical cord, characterized by infiltration of fetal neutrophils into the umbilical vein	Orthographe non retenue (« funiculite » au lieu de « funisite ») ; libellé chapeau sans stade ni grade, avec une parenthèse étiologique qui mêle description lésionnelle et interprétation physiopathologique.
FOETO:PP.COR-INF-007	Vascularite ombilicale	AMSTERDAM	AI — réponse inflammatoire fœtale (FIR)	critere		oui		oui	oui	khong2019 ch55	While funisitis and phlebitis are established terms, the pattern of inflammation seen reflects neutrophil migration, rather than a true primary vasculitis.	Élément non stadifié : recouvre indistinctement la phlébite isolée (stade 1) et l'atteinte artérielle (stade 2), qui doivent être distinguées.
FOETO:PP.COR-MAL-001	Insertion vélamenteuse du cordon ombilical	AMSTERDAM	Anomalies du cordon ombilical — insertion vélamenteuse	manifestation		oui		oui	oui	benirschke ch16	Velamentously inserted cords are associated with twinning and single umbilical artery (SUA).	
FOETO:PP.COR-MAL-002	Artère ombilicale unique	AMSTERDAM	Anomalies du cordon ombilical — artère ombilicale unique	manifestation		oui		oui	oui	vogel ch3	A SUA is an umbilical cord with a single artery. The diagnosis is made by sampling the cord at 1–2 cm intervals to confirm the absence of one of the two arteries.	
FOETO:PP.COR-NOR-000	Cordon normal	BENIRSCHKE	Anatomie normale du cordon ombilical	structure		oui		oui	oui	khong2019 ch2	The normal mature cord has two arteries and one vein. Coiling of the umbilical cord is noted as early as 8-week gestation.	
FOETO:PP.COR-RET-001	Hémorragie périvasculaire dans la gelée de Wharton (artefact)	BENIRSCHKE	Hématome / extravasation sanguine dans la gelée de Wharton	manifestation		oui		oui	oui	vogel ch3	Hematomas without vessel compression occur more often in the umbilical cord next to the child and are caused by tension on the umbilical cord, mechanical compression and rupture during delivery.	Le qualifieur « artefact » (interprétation) est fondu dans le libellé descriptif de la lésion.
FOETO:PP.COR-RET-002	Nécrose myocytes cordon (rétention >6j Genest)	BENIRSCHKE	Modifications post-mortem du placenta — datation de la mort fœtale	manifestation		non_standard	Nécrose des myocytes de la paroi vasculaire ombilicale, post-mortem	non	non			Libellé composite : lésion, délai de rétention chiffré et éponyme (Genest) mêlés dans le nom.
FOETO:PP.COR-TUM-001	Hémangiome funiculaire	BENIRSCHKE	Tumeurs du cordon ombilical — angiome (hémangiome)	manifestation		oui		oui	oui	benirschke ch16	only two true tumors occur in the umbilical cord: angiomas of great variety and significance and, much more rarely, teratomas	
FOETO:PP.COR-VAS-001	MAVM (meconium associated vascular myonecrosis)	AMSTERDAM	Méconium — myonécrose des vaisseaux ombilicaux	manifestation		oui	Myonécrose vasculaire ombilicale associée au méconium (MAVM)	oui	oui	khong2019 ch54	prolonged exposure to high levels of meconium may lead to necrosis of the umbilical vascular smooth muscle (myonecrosis)	Le sigle anglais placé en tête du libellé français nuit à la lisibilité.
FOETO:PP.COR-VAS-002	Thrombose vasculaire ombilicale	AMSTERDAM	FVM — malperfusion vasculaire fœtale (thrombose des vaisseaux ombilicaux)	manifestation		oui		oui	oui	vogel ch3	Partial thrombosis of umbilical cord vessels was often seen in cases of inflammation.	Le libellé ne précise ni le vaisseau atteint (artère/veine) ni l'ancienneté du thrombus.
FOETO:PP.DBA-NOR-000	Décidue basale normale	BENIRSCHKE	Anatomie normale de la plaque basale / décidue basale	structure		oui		oui	oui	vogel ch1	The Decidua basalis (De) contains stromal cells, macrophages, leucocytes and multinucleated Giant Cells (GC) of the extravillous and Intermediate trophoblast (Itr) types.	
FOETO:PP.DME-NOR-000	Décidue des membranes normale	BENIRSCHKE	Anatomie normale des membranes — décidue (capsulaire/pariétale)	structure		oui		oui	oui	benirschke ch15	The decidual layer that is attached to the membranes after birth is largely derived from stroma of the parietal decidua	
FOETO:PP.EIV-NOR-000	Espace intervilleux normal	BENIRSCHKE	Anatomie normale — espace intervilleux	structure		oui		oui	oui	khong2019 ch2	In addition to maternal blood, other elements in the normal intervillous space include septa and cell islands.	
FOETO:PP.EVI-NOR-000	Espace villeux normal	VOGEL	Compartiment villositaire normal (villous compartment)	structure		non_standard	Compartiment villositaire normal	oui	oui	vogel ch1	The space between the chorionic and basal plates is filled with villi that are organized in villous bundles, each measuring 2 cm in diameter; these bundles form the cotyledons of the placental lobes.	« Espace villeux » n'est pas une structure canonique : confusion possible avec l'espace intervilleux.
FOETO:PP.IAC-NOR-000	Interface amnios/chorion normale	BENIRSCHKE	Anatomie normale des membranes — interface amnio-choriale (couche spongieuse)	structure		oui		oui	oui	benirschke ch15	Amnion epithelium (A) sits on a thin layer of connective tissue that is separable from chorionic connective tissue (C) in an ill-defined plane (P)	
FOETO:PP.ICD-NOR-000	Interface chorion/décidue normale	BENIRSCHKE	Anatomie normale des membranes — interface chorio-déciduale	structure		oui		oui	oui	khong2019 ch45	The choriodecidual junction represents a large interface between the mother and the fetus	
FOETO:PP.MEM-CLA-001	Amnios nodosum	AMSTERDAM	Amnion nodosum	manifestation		non_standard	Amnion nodosum	oui	oui	khong2019 ch38	Deposits of cellular elements from the fetal skin on the surface of the amniotic epithelium.	Orthographe francisée « amnios » : le terme consacré est « amnion nodosum ».
FOETO:PP.MEM-CLA-002	Macrophages chargés de méconium (délai 24-48h)	AMSTERDAM	Méconium — macrophages chargés de méconium	manifestation		non_standard	Macrophages chargés de méconium (amnios)	oui	oui	benirschke ch15	Meconium-laden macrophages are large, ovoid, or round cells in amnion and later in the chorion that have a yellow-brown-green content	Libellé composite : la lésion est mêlée à une estimation chronologique (24-48 h) qui est une inférence de datation, non un critère diagnostique.
FOETO:PP.MEM-CLA-003	Nécrose laminaire des membranes	BENIRSCHKE	Nécrose laminaire des membranes (infarctus membranaire, lésion hypoxique)	manifestation		oui		oui	oui	benirschke ch26	Laminar necrosis of the membranes is a lesion that has been associated with diseases of hypertension during pregnancy [74], but this lesion does not include the presence of intramembranous thrombi.	
FOETO:PP.MEM-CLA-004	Séparation chorioamniotique	BENIRSCHKE	Séparation chorio-amniotique	manifestation		oui		oui	oui	benirschke ch15	A recent study identified a significantly higher rate of preterm delivery in placentas with chorioamniotic separation than those without it	
FOETO:PP.MEM-INF-001	Chorioamniotite aiguë modérée (stade 2)	AMSTERDAM	AI — réponse inflammatoire maternelle (MIR)	stade	MIR stade 2 grade 1	non_standard	Chorioamnionite aiguë — MIR stade 2 grade 1	oui	oui	amsterdam ch1	Stage 2—acute chorioamnionitis: polymorphonuclear leukocytes extend into fibrous chorion and/or amnion	Orthographe « chorioamniotite » non retenue ; le qualifieur « modérée » aplatit le grade dans le nom du stade alors que stade et grade sont deux axes distincts ; doublon de MIR Stage 2.
FOETO:PP.MEM-INF-002	Chorioamniotite aiguë sous-choriale (stade 1)	AMSTERDAM	AI — réponse inflammatoire maternelle (MIR)	stade	MIR stade 1	non_standard	Subchorionite / chorionite aiguë — MIR stade 1	oui	oui	amsterdam ch1	Stage 1—acute subchorionitis or chorionitis	Orthographe « chorioamniotite » non retenue ; nommer « chorioamniotite stade 1 » une subchorionite est impropre (le stade 1 précède l'atteinte de l'amnios) ; doublon de MIR Stage 1.
