id	referentiel	entite	role	stade	conforme	label_propose	source	probleme	label_fr
FOETO:PP.PLA-MAL-023	AMSTERDAM	Anomalies du cordon — insertion vélamenteuse	synonyme		non_standard	Insertion vélamenteuse du cordon ombilical	Khong 2016, cordon ombilical (insertion vélamenteuse)	Doublon du terme générique avec un contexte clinique (grossesse multiple) mêlé à la lésion : la lésion est identique, seul le contexte diffère.	Insertion vélamenteuse du cordon (grossesse multiple)
FOETO:PP.PLA-MAL-024	BENIRSCHKE	Kystes et vestiges du cordon ombilical — kyste allantoïdien	synonyme		oui		Benirschke, Burton & Baergen, Umbilical cord — allantoic cysts		Kyste allantoïque du cordon ombilical
FOETO:PP.PLA-NOR-163	BENIRSCHKE	Vestiges embryonnaires du cordon ombilical — reliquat omphalo-mésentérique	structure		non_standard	Reliquat du canal omphalo-mésentérique du cordon ombilical	Benirschke, Burton & Baergen, Umbilical cord — vitelline/omphalomesenteric remnants	Siège non explicité dans le libellé (cordon vs membranes), alors que le vocabulaire distingue les deux localisations.	Résidu du canal omphalomésentérique
FOETO:PP.PLA-NOR-164	GEMELLAIRE	Chorionicité — placenta monochorionique diamniotique	structure		erreur	Membrane de séparation gémellaire monochoriale diamniotique (deux amnios accolés)	Lewi/Khalil, détermination de la chorionicité et de l'amnionicité	Description fausse : en monochorionique diamniotique les deux sacs amniotiques sont juxtaposés et séparés par une membrane à deux amnios, non emboîtés l'un dans l'autre.	Sac amniotique contenu dans un autre (placenta gémellaire DiMo)
FOETO:PP.PLA-NOR-165	BENIRSCHKE	Anatomie normale — septa placentaires	structure		oui		Benirschke, Burton & Baergen, anatomie normale (septa)		Septa placentaires
FOETO:PP.PLA-NOR-166	BENIRSCHKE	Anatomie normale — septa placentaires	structure		non_standard	Septum placentaire — composante choriale	Benirschke, Burton & Baergen, anatomie normale (septa)	Orthographe fautive (« chorioniaque ») et entité ambiguë : oscille entre septum placentaire décidual et membrane de séparation gémellaire.	Septum chorioniaque
FOETO:PP.PLA-NOR-167	BENIRSCHKE	Anatomie normale — plaque basale (couches de Rohr et de Nitabuch)	structure		oui		Benirschke, Burton & Baergen, anatomie normale (basal plate layers)		Stratification de la plaque basale
FOETO:PP.PLA-NOR-168	BENIRSCHKE	Anatomie normale — fibrine sous-choriale de Langhans	structure		erreur	Fibrine sous-choriale de Langhans (plaque choriale)	Benirschke, Burton & Baergen, anatomie normale (subchorionic Langhans fibrinoid)	Siège erroné : la couche fibrinoïde de Langhans est sous-choriale ; la plaque basale porte le fibrinoïde de Rohr et de Nitabuch.	Strie fibrinoïde de Langhans
FOETO:PP.PLA-NOR-169	VOGEL	Anatomie villositaire normale — villosité souche (tronculaire)	structure		oui		Vogel, morphologie villositaire normale (Stammvilli)		Stroma fibreux condensé des villosités souches
FOETO:PP.PLA-NOR-170	VOGEL	Anatomie villositaire normale — stroma réticulaire des villosités intermédiaires immatures	structure		oui		Vogel, stroma réticulaire villositaire		Stroma réticulaire villositaire
FOETO:PP.PLA-NOR-171	VOGEL	Anatomie villositaire normale — stroma villositaire	structure		oui		Vogel, morphologie villositaire normale (stroma)		Stroma villeux
FOETO:PP.PLA-NOR-172	BENIRSCHKE	Anatomie normale — artère ombilicale	structure		oui		Benirschke, Burton & Baergen, anatomie normale du cordon (umbilical arteries)		Structure vasculaire artérielle ombilicale — architecture normale
FOETO:PP.PLA-NOR-173	BENIRSCHKE	Anatomie normale — veine ombilicale	structure		oui		Benirschke, Burton & Baergen, anatomie normale du cordon (umbilical vein)		Structure vasculaire veineuse ombilicale — architecture normale
FOETO:PP.PLA-NOR-174	BENIRSCHKE	Anatomie normale — plaque basale (face maternelle)	structure		oui		Benirschke, Burton & Baergen, anatomie normale (maternal surface)		Surface basale (maternelle) du placenta
FOETO:PP.PLA-NOR-175	BENIRSCHKE	Anatomie normale — plaque choriale (face fœtale)	structure		oui		Benirschke, Burton & Baergen, anatomie normale (fetal/chorionic surface)		Surface choriale (face fœtale) du placenta
FOETO:PP.PLA-NOR-071	BENIRSCHKE	Stroma villositaire normal — trame collagène	structure		oui		Benirschke, Burton & Baergen, Pathology of the Human Placenta — architecture du stroma villositaire		Fibres collagènes du stroma villeux
