section	rang	hpo_id	signe	nb_fiches_qui_le_nomment	retenu_en_toggle
general — croissance	1	HP:0001511	Retard de croissance intra-utérin	45	oui
general — croissance	2	HP:0001518	Petit pour l'âge gestationnel	8	oui
general — croissance	3	HP:0001528	Hémihypertrophie	6	oui
general — croissance	4	HP:0003363	Situs inversus abdominal	4	oui
general — croissance	5	HP:0001520	Macrosomie	4	
general — croissance	6	HP:0008846	Retard de croissance intra-utérin sévère	2	
general — croissance	7	HP:0200053	Hémihypotrophie du membre inférieur	1	
general — croissance	8	HP:0100556	Hémiatrophie	1	
tete — crane	1	HP:0000347	micrognathie	160	oui
tete — crane	2	HP:0000252	Microcéphalie	96	oui
tete — crane	3	HP:0000256	Macrocéphalie	57	oui
tete — crane	4	HP:0001363	Crâniosynostose	56	oui
tete — crane	5	HP:0002007	Proéminence frontale	33	
tete — crane	6	HP:0000248	Brachycéphalie	27	
tete — crane	7	HP:0000327	Hypoplasie maxillaire	24	
tete — crane	8	HP:0000303	Prognathisme mandibulaire	24	
tete — face	1	HP:0000175	Fente palatine	149	oui
tete — face	2	HP:0005280	Dépression de l'arête nasale	99	oui
tete — face	3	HP:0000286	Epicanthus	65	oui
tete — face	4	HP:0000494	Fissures palpébrales inclinées vers le bas	53	oui
tete — face	5	HP:0011220	Front proéminent	50	
tete — face	6	HP:0011800	Rétraction du visage	45	
tete — face	7	HP:0000431	Arête nasale large	37	
tete — face	8	HP:0000463	Narines antéversées	34	
tete — oeil	1	HP:0000316	Hypertélorisme	127	oui
tete — oeil	2	HP:0000518	Opacité du cristallin	71	oui
tete — oeil	3	HP:0000568	Microphtalmie	61	oui
tete — oeil	4	HP:0000508	Ptosis	61	oui
tete — oeil	5	HP:0000520	Proptose	57	
tete — oeil	6	HP:0000501	Glaucome	40	
tete — oeil	7	HP:0000648	Atrophie optique congénitale	29	
tete — oeil	8	HP:0000592	Sclérotiques bleues/bleutées	25	
tete — oreille	1	HP:0000369	Implantation basse des oreilles	37	oui
tete — oreille	2	HP:0000377	Anomalie de l'auricule de l'oreille	26	oui
tete — oreille	3	HP:0000400	Macrotie	20	oui
tete — oreille	4	HP:0008551	Microtie (pavillon de l'oreille hypoplasique)	17	oui
tete — oreille	5	HP:0000358	oreilles en rotation postérieure	12	
tete — oreille	6	HP:0000411	Oreille proéminente	8	
tete — oreille	7	HP:0000356	Anomalie de l'oreille externe	8	
tete — oreille	8	HP:0000413	Atrésie du canal auditif externe	4	
cou	1	HP:0000470	Cou court	51	oui
cou	2	HP:0000465	Cou palmé	14	oui
